사용본거지법정동명,동별 총 대수,휘발유,경유,엘피지,전기,휘발유(유연),휘발유(무연),CNG,수소,기타연료,하이브리드
서울특별시 강서구 외발산동,1593,137,646,379,5,0,297,89,0,12,28
서울특별시 강서구 공항동,6930,1121,2865,665,37,3,2021,3,1,16,198
서울특별시 강서구 방화동,26195,4444,8362,4743,124,6,7544,118,6,30,818
서울특별시 강서구 개화동,1424,174,755,81,26,0,225,136,0,4,23
서울특별시 강서구 과해동,114,6,84,0,7,0,10,3,0,1,3
서울특별시 강서구 오곡동,46,3,34,1,0,0,7,0,0,1,0
서울특별시 강서구 오쇠동,94,6,64,1,2,0,19,0,0,2,0
서울특별시 구로구 신도림동,12591,2888,4065,608,56,6,4312,15,5,28,608
서울특별시 구로구 구로동,53618,8429,20628,5140,1693,9,15578,235,108,102,1696
서울특별시 구로구 가리봉동,2789,425,1359,187,5,0,743,0,0,1,69
서울특별시 구로구 고척동,16747,2882,6631,1408,75,4,5187,11,6,33,510
서울특별시 구로구 개봉동,25992,4693,9629,2215,96,9,8323,125,8,58,836
서울특별시 구로구 오류동,14424,2475,5284,1464,68,7,4609,3,10,34,470
서울특별시 구로구 궁동,4684,696,1906,496,18,1,1430,1,1,7,128
서울특별시 구로구 온수동,3419,650,1190,422,10,1,1010,16,2,7,111
서울특별시 구로구 천왕동,4294,747,1495,549,24,2,1345,0,2,15,115
서울특별시 구로구 항동,5604,985,1946,436,53,4,1905,1,7,17,250
서울특별시 금천구 가산동,20099,3000,9000,906,214,12,5965,154,10,64,774
서울특별시 금천구 독산동,34721,5628,13688,3394,149,14,10695,30,12,46,1065
서울특별시 금천구 시흥동,35008,5548,14047,3197,163,15,10776,212,6,52,992
서울특별시 영등포구 영등포동,4126,853,1490,265,24,1,1299,0,7,6,181
서울특별시 영등포구 영등포동1가,852,181,231,43,13,1,330,0,1,2,50
서울특별시 영등포구 영등포동2가,1606,265,776,70,5,1,426,0,1,12,50
서울특별시 영등포구 영등포동3가,441,97,156,33,3,0,140,2,0,1,9
서울특별시 영등포구 영등포동4가,558,124,170,86,9,0,149,0,0,1,19
서울특별시 영등포구 영등포동5가,652,111,315,52,5,0,151,1,0,0,17
서울특별시 영등포구 영등포동6가,516,92,197,33,4,1,161,0,1,0,27
서울특별시 영등포구 영등포동7가,3706,768,1399,179,34,1,1156,1,6,7,155
서울특별시 영등포구 영등포동8가,1995,435,626,103,10,2,704,0,2,9,104
서울특별시 영등포구 여의도동,21406,5650,6386,503,1452,4,5970,4,46,83,1308
서울특별시 영등포구 당산동1가,2019,377,774,124,13,0,642,1,1,6,81
서울특별시 영등포구 당산동2가,2066,383,769,125,4,2,695,0,2,24,62
서울특별시 영등포구 당산동3가,3694,706,1475,224,64,0,1062,14,7,13,129
서울특별시 영등포구 당산동4가,4771,1106,1499,195,31,1,1629,55,2,9,244
서울특별시 영등포구 당산동5가,4346,1168,1191,165,20,2,1522,0,3,6,269
서울특별시 영등포구 당산동6가,1187,231,488,72,7,0,355,0,1,4,29
서울특별시 영등포구 당산동,2468,527,722,231,17,5,817,1,3,3,142
서울특별시 영등포구 도림동,5744,1078,2282,447,26,3,1688,11,4,11,194
서울특별시 영등포구 문래동1가,413,59,204,24,3,0,102,1,0,9,11
서울특별시 영등포구 문래동2가,600,111,274,40,1,0,156,0,0,0,18
서울특별시 영등포구 문래동3가,6074,1375,2180,237,36,4,1928,1,10,52,251
서울특별시 영등포구 문래동4가,804,150,297,60,1,1,261,0,2,0,32
서울특별시 영등포구 문래동5가,2055,407,763,111,4,2,665,0,1,2,100
서울특별시 영등포구 문래동6가,4120,833,1387,277,26,3,1356,0,2,26,210
서울특별시 영등포구 양평동1가,2744,328,1330,484,13,1,519,0,0,8,61
서울특별시 영등포구 양평동2가,3276,537,1505,218,9,2,867,7,1,20,110
서울특별시 영등포구 양평동3가,6949,1186,2785,415,20,4,2138,0,4,73,324
서울특별시 영등포구 양평동4가,3072,515,1392,167,18,1,845,5,3,4,122
서울특별시 영등포구 양평동5가,3926,568,2111,196,27,1,877,0,2,8,136
서울특별시 영등포구 양평동6가,1913,325,655,363,15,0,484,2,1,2,66
서울특별시 영등포구 양화동,5,1,2,1,0,0,0,0,0,0,1
서울특별시 영등포구 신길동,30924,6052,11189,2297,148,13,9969,10,15,43,1188
서울특별시 영등포구 대림동,17314,2827,7219,1648,73,3,5034,1,9,8,492
서울특별시 영등포구 양평동,3,0,1,0,0,0,2,0,0,0,0
서울특별시 동작구 노량진동,8042,1703,2753,606,56,2,2604,6,5,11,296
서울특별시 동작구 상도동,31693,6858,10148,2393,150,8,10645,15,27,34,1415
서울특별시 동작구 상도1동,1846,349,663,155,7,0,589,0,1,2,80
서울특별시 동작구 본동,3361,802,1036,204,21,3,1086,1,2,5,201
서울특별시 동작구 흑석동,9163,2344,2830,476,59,2,2894,10,8,11,529
서울특별시 동작구 동작동,1640,433,488,63,11,0,531,0,1,1,112
서울특별시 동작구 사당동,26692,6062,8558,1795,127,6,8911,14,18,30,1171
서울특별시 동작구 대방동,10565,2254,3342,747,43,8,3674,15,10,19,453
서울특별시 동작구 신대방동,13240,2764,4838,770,87,5,4241,1,11,19,504
서울특별시 관악구 봉천동,54521,10719,18391,4549,294,20,18164,40,31,81,2232
서울특별시 관악구 신림동,59292,10894,21530,5725,285,29,18703,186,18,77,1845
서울특별시 관악구 남현동,5034,1031,1704,356,15,2,1691,8,6,2,219
서울특별시 서초구 방배동,38397,10393,11902,1758,273,15,11622,302,30,57,2045
서울특별시 서초구 양재동,24988,4318,9847,1199,788,7,7310,33,91,86,1309
서울특별시 서초구 우면동,9134,2213,2746,728,79,4,2771,32,20,34,507
서울특별시 서초구 원지동,155,28,78,16,1,0,28,0,0,0,4
서울특별시 서초구 잠원동,17756,5909,4741,532,91,9,5384,2,9,29,1050
서울특별시 서초구 반포동,27780,9511,7917,680,397,10,7637,2,19,55,1552
서울특별시 서초구 서초동,51930,14850,16402,1303,1224,11,15190,26,41,144,2739
서울특별시 서초구 내곡동,4431,843,1442,623,66,0,1231,14,8,11,193
서울특별시 서초구 염곡동,853,113,361,60,4,0,156,122,5,1,31
서울특별시 서초구 신원동,3042,737,1012,184,41,2,877,0,3,9,177
서울특별시 강남구 학동,8,3,5,0,0,0,0,0,0,0,0
서울특별시 강남구 역삼동,36627,9388,10579,1311,679,9,9896,9,14,78,4664
서울특별시 강남구 포이동,4,2,1,0,0,0,1,0,0,0,0
서울특별시 강남구 개포동,22928,6222,6839,1162,189,8,7021,172,17,33,1265
서울특별시 강남구 청담동,12041,4205,3846,266,130,2,2944,6,6,32,604
서울특별시 강남구 삼성동,20319,6175,6329,649,233,3,5782,33,13,97,1005
서울특별시 강남구 대치동,38994,10282,8768,1069,6188,23,10155,6,25,46,2432
서울특별시 강남구 신사동,6674,1807,2397,235,50,5,1880,0,1,18,281
서울특별시 강남구 논현동,20920,5665,7345,789,151,7,6123,9,10,54,767
서울특별시 강남구 압구정동,13629,4597,3627,294,71,5,4182,0,9,17,827
서울특별시 강남구 세곡동,5815,1244,2024,560,47,6,1606,19,5,15,289
서울특별시 강남구 자곡동,8605,2063,2578,731,82,1,2646,0,10,18,476
서울특별시 강남구 율현동,4394,896,1549,566,21,1,1225,0,1,7,128
서울특별시 강남구 일원동,14748,3549,3769,2047,127,9,4400,5,22,10,810
서울특별시 강남구 수서동,8293,2025,2436,779,56,1,2495,1,6,7,487
서울특별시 강남구 도곡동,22707,7943,6247,520,209,6,6372,5,23,130,1252
서울특별시 송파구 잠실동,36859,11240,10167,1470,273,17,11575,10,19,85,2003
서울특별시 송파구 신천동,22749,4195,12463,448,160,4,4581,15,8,70,805
서울특별시 송파구 풍납동,12271,2565,3950,1212,71,3,3898,5,13,22,532
서울특별시 송파구 송파동,14525,3342,4916,910,75,5,4591,0,11,26,649
서울특별시 송파구 석촌동,10057,2179,3587,785,55,4,3058,2,4,12,371
서울특별시 송파구 삼전동,9049,1894,3058,777,55,3,2917,2,6,33,304
서울특별시 송파구 가락동,35043,7887,11736,2264,238,20,10957,6,26,106,1803
서울특별시 송파구 문정동,29434,6580,10690,1423,186,10,9036,11,21,62,1415
서울특별시 송파구 장지동,17061,3141,5050,2366,156,8,4724,661,10,58,887
서울특별시 송파구 방이동,21407,5368,6912,1115,126,9,6697,3,15,44,1118
서울특별시 송파구 오금동,13934,2959,4900,977,76,7,4337,10,12,22,634
서울특별시 송파구 거여동,11876,2277,4168,1010,61,4,3880,3,9,17,447
서울특별시 송파구 마천동,11809,1897,4540,1579,69,4,3288,104,6,20,302
서울특별시 강동구 명일동,14174,3126,4329,960,83,3,4923,8,13,27,702
서울특별시 강동구 고덕동,16687,3796,5502,959,143,5,5275,2,25,47,933
서울특별시 강동구 상일동,16875,3716,5326,1066,150,11,5542,6,34,40,984
서울특별시 강동구 길동,15896,2812,5373,2556,124,8,4461,2,9,28,523
서울특별시 강동구 둔촌동,8664,1698,3030,835,40,0,2696,2,6,15,342
서울특별시 강동구 암사동,21686,4362,7336,1884,105,9,6970,5,16,42,957
서울특별시 강동구 성내동,22186,4057,8047,2171,155,9,6884,15,28,47,773
서울특별시 강동구 천호동,25879,4846,9668,2553,131,12,7728,5,23,51,862
서울특별시 강동구 강일동,10528,1862,3557,1291,98,1,3107,185,17,23,387
