사용본거지법정동명,동별 총 대수,휘발유,경유,엘피지,전기,휘발유(유연),휘발유(무연),CNG,수소,기타연료,하이브리드
서울특별시 종로구 신영동,1157,262,420,60,11,1,342,0,0,1,60
서울특별시 종로구 무악동,2834,631,973,170,17,1,862,0,6,3,171
서울특별시 중구 무교동,218,73,60,12,4,0,59,0,0,0,10
서울특별시 중구 다동,232,57,73,2,3,0,56,0,0,1,40
서울특별시 중구 태평로1가,1029,51,464,251,70,0,153,5,7,1,27
서울특별시 중구 을지로1가,125,30,53,3,1,0,33,0,1,1,3
서울특별시 중구 을지로2가,1036,176,476,67,33,0,143,0,0,87,54
서울특별시 중구 남대문로1가,17,2,8,0,0,0,6,0,0,0,1
서울특별시 중구 삼각동,166,65,51,1,0,0,29,0,0,0,20
서울특별시 중구 수하동,196,53,61,1,5,0,45,0,0,2,29
서울특별시 중구 장교동,157,42,50,1,0,0,54,0,0,4,6
서울특별시 중구 수표동,426,63,226,19,22,0,87,0,1,0,8
서울특별시 중구 소공동,482,135,142,2,0,0,182,0,0,1,20
서울특별시 중구 남창동,247,55,115,13,0,0,61,0,0,0,3
서울특별시 중구 북창동,241,58,92,10,0,0,59,0,0,9,13
서울특별시 중구 태평로2가,412,48,59,3,216,0,78,0,1,2,5
서울특별시 중구 남대문로2가,314,10,270,1,0,0,29,0,0,3,1
서울특별시 중구 남대문로3가,37,4,14,0,0,0,7,0,0,0,12
서울특별시 중구 남대문로4가,135,28,42,0,0,0,63,0,0,0,2
서울특별시 중구 남대문로5가,10328,5474,4010,10,131,0,201,0,1,3,498
서울특별시 중구 봉래동1가,167,19,107,3,0,0,30,0,1,1,6
서울특별시 중구 봉래동2가,50,2,34,3,1,0,6,0,0,0,4
서울특별시 중구 회현동1가,1172,327,442,41,13,1,289,0,1,1,57
서울특별시 중구 회현동2가,1731,700,795,8,11,0,126,0,0,4,87
서울특별시 중구 회현동3가,47,9,19,0,0,0,19,0,0,0,0
서울특별시 중구 충무로1가,165,37,73,11,0,0,40,0,1,0,3
서울특별시 중구 충무로2가,339,113,99,11,3,0,100,1,0,1,11
서울특별시 중구 명동1가,82,15,34,2,1,0,29,0,0,0,1
서울특별시 중구 명동2가,468,57,301,11,4,0,84,0,0,0,11
서울특별시 중구 남산동1가,90,11,34,8,6,0,25,0,0,0,6
서울특별시 중구 남산동2가,223,47,91,9,0,1,65,2,0,0,8
서울특별시 중구 남산동3가,50,14,20,0,0,0,12,0,0,1,3
서울특별시 중구 저동1가,76,17,15,2,0,0,40,0,0,0,2
서울특별시 중구 충무로4가,618,166,213,21,3,0,179,0,0,0,36
서울특별시 중구 충무로5가,273,77,101,6,4,0,73,0,0,0,12
서울특별시 중구 인현동2가,183,42,73,16,0,0,43,0,0,1,8
서울특별시 중구 예관동,246,30,134,8,29,0,32,7,0,1,5
서울특별시 중구 묵정동,310,65,130,16,1,0,88,0,0,0,10
서울특별시 중구 필동1가,159,54,50,5,0,0,44,0,0,0,6
서울특별시 중구 필동2가,499,112,174,22,5,1,159,1,0,4,21
서울특별시 중구 필동3가,376,77,133,26,3,0,118,0,0,1,18
서울특별시 중구 남학동,19,4,8,0,0,0,7,0,0,0,0
서울특별시 중구 주자동,46,12,17,4,0,0,13,0,0,0,0
서울특별시 중구 예장동,357,66,146,22,18,0,83,0,1,3,18
서울특별시 중구 장충동1가,576,136,202,40,9,0,167,0,2,3,17
서울특별시 중구 장충동2가,758,128,315,65,16,0,202,0,1,7,24
서울특별시 중구 광희동1가,232,38,109,16,1,0,61,0,1,0,6
서울특별시 중구 광희동2가,232,37,98,22,0,0,67,0,0,3,5
서울특별시 중구 쌍림동,300,61,128,24,3,0,74,1,0,0,9
서울특별시 중구 을지로6가,250,61,112,10,2,0,50,0,2,1,12
서울특별시 중구 을지로7가,49,15,18,3,0,0,8,0,0,5,0
서울특별시 중구 을지로4가,138,41,57,3,1,0,29,0,0,1,6
서울특별시 중구 을지로5가,216,47,102,12,2,0,44,0,0,0,9
서울특별시 중구 주교동,169,40,79,5,0,0,42,0,0,1,2
서울특별시 중구 방산동,42,4,26,1,1,0,10,0,0,0,0
서울특별시 중구 오장동,304,60,136,34,0,0,68,0,0,0,6
서울특별시 중구 을지로3가,410,98,186,15,0,0,97,0,1,0,13
서울특별시 중구 입정동,141,17,79,10,1,0,32,0,0,0,2
서울특별시 중구 산림동,170,36,88,5,1,0,38,0,0,0,2
서울특별시 중구 충무로3가,261,49,86,9,4,0,99,0,2,0,12
서울특별시 중구 초동,153,20,65,5,0,0,59,0,0,0,4
서울특별시 중구 인현동1가,118,16,65,7,0,0,27,2,0,0,1
서울특별시 중구 저동2가,209,51,75,5,2,0,70,0,0,0,6
서울특별시 중구 신당동,20224,4445,7303,1593,120,5,5980,4,10,46,718
서울특별시 중구 흥인동,752,217,271,22,2,0,219,0,0,1,20
서울특별시 중구 무학동,128,20,67,4,11,0,20,0,0,1,5
서울특별시 중구 황학동,3456,793,1373,145,27,1,983,0,2,10,122
서울특별시 중구 서소문동,1280,121,939,36,12,0,135,1,0,25,11
서울특별시 중구 정동,375,79,169,13,3,0,95,0,1,0,15
서울특별시 중구 순화동,1297,234,473,37,12,0,427,1,0,48,65
서울특별시 중구 의주로1가,74,25,26,1,0,0,20,0,0,0,2
서울특별시 중구 충정로1가,28,6,15,0,0,0,7,0,0,0,0
서울특별시 중구 중림동,1805,428,647,94,14,1,553,0,0,0,68
서울특별시 중구 의주로2가,3,0,2,0,0,0,1,0,0,0,0
서울특별시 중구 만리동1가,533,107,237,15,5,0,133,9,0,0,27
서울특별시 중구 만리동2가,1532,405,443,60,17,1,500,1,2,5,98
서울특별시 용산구 도동1가,2,2,0,0,0,0,0,0,0,0,0
서울특별시 용산구 후암동,4040,910,1454,283,32,1,1227,9,3,1,120
서울특별시 용산구 용산동2가,2144,507,749,182,14,1,633,1,1,1,55
서울특별시 용산구 용산동4가,4,1,0,0,0,0,3,0,0,0,0
서울특별시 용산구 갈월동,1358,378,508,56,8,0,269,0,1,4,134
서울특별시 용산구 남영동,265,56,108,12,1,0,72,0,0,12,4
서울특별시 용산구 용산동1가,9,3,2,0,2,0,2,0,0,0,0
서울특별시 용산구 동자동,965,253,339,44,6,0,271,0,0,7,45
서울특별시 용산구 서계동,1266,220,509,132,4,0,369,0,1,2,29
서울특별시 용산구 청파동1가,1665,334,617,95,8,0,545,0,0,5,61
서울특별시 용산구 청파동2가,622,117,224,47,6,0,207,0,0,0,21
서울특별시 용산구 청파동3가,741,140,267,53,3,1,253,0,1,2,21
서울특별시 용산구 원효로1가,2092,484,790,95,22,0,612,3,1,4,81
서울특별시 용산구 원효로2가,754,146,313,45,2,1,223,0,0,0,24
서울특별시 용산구 신창동,631,130,223,42,3,1,200,0,0,1,31
서울특별시 용산구 산천동,1680,421,528,97,7,1,538,0,0,1,87
서울특별시 용산구 청암동,286,110,64,2,2,0,87,0,0,1,20
서울특별시 용산구 원효로3가,1092,182,597,46,7,0,226,0,1,1,32
서울특별시 용산구 원효로4가,1369,293,492,76,22,0,415,4,1,2,64
서울특별시 용산구 효창동,3112,708,1128,169,12,0,921,0,7,3,164
서울특별시 용산구 도원동,1677,410,509,87,11,1,583,0,0,2,74
서울특별시 용산구 용문동,1728,351,648,115,13,1,528,0,2,1,69
서울특별시 용산구 문배동,2212,643,788,52,27,1,565,0,1,3,132
서울특별시 용산구 신계동,1203,289,435,52,9,0,344,0,2,3,69
서울특별시 용산구 한강로1가,3651,1775,562,53,15,3,1070,1,0,89,83
서울특별시 용산구 한강로2가,3373,891,1247,135,28,2,902,2,2,4,160
서울특별시 용산구 용산동3가,199,29,68,9,2,0,80,0,1,0,10
서울특별시 용산구 용산동5가,1091,396,287,12,8,1,313,0,1,1,72
서울특별시 용산구 한강로3가,4086,1178,1460,118,45,1,1030,2,1,36,215
서울특별시 용산구 이촌동,16134,6317,3798,360,258,1,4385,1,12,20,982
서울특별시 용산구 이태원동,4857,1318,1599,275,68,0,1387,6,6,7,191
서울특별시 용산구 한남동,7530,2358,2526,297,98,1,1898,0,3,28,321
서울특별시 용산구 동빙고동,2133,483,686,152,15,0,684,0,0,5,108
서울특별시 용산구 서빙고동,2207,738,628,52,8,0,625,0,2,2,152
서울특별시 용산구 주성동,271,61,95,22,1,0,75,0,0,1,16
서울특별시 용산구 용산동6가,57,3,49,0,0,0,4,0,0,0,1
서울특별시 용산구 보광동,3087,692,1113,269,14,1,883,0,1,3,111
