lng,lat,행정동
127.051274,37.48676,도곡2동
127.04877797,37.488427276,도곡1동
127.046255,37.492949,도곡1동
127.044,37.5013,역삼2동
127.0428583,37.5034175,역삼1동
127.034881,37.516043,논현2동
127.04134701,37.508584359,역삼1동
127.038,37.5103,논현2동
127.0382684,37.515085692,논현2동
127.0341385136,37.519204364164,논현2동
127.051166,37.488138,도곡2동
127.0520135015,37.48886540776,도곡2동
127.0534832199,37.488069522098,도곡2동
127.0540058312,37.489475126735,도곡2동
127.04238178,37.500567,역삼2동
127.0449314174,37.50152205273,역삼2동
127.0495726208,37.4996776391,역삼2동
127.051025254,37.4988525999,역삼2동
127.050493262,37.4981410336,역삼2동
127.0486174555,37.4968641934,역삼2동
127.051602,37.496746,역삼2동
127.0469586923,37.4989768233,역삼2동
127.03132497,37.49364507,역삼1동
127.04280392,37.497350914,역삼2동
127.0440226,37.498631066,역삼2동
127.0465133958,37.499413086443,역삼2동
127.0472995669,37.499737136483,역삼2동
127.060386,37.503938,대치2동
127.036122,37.49442,역삼1동
127.03147244,37.494714543,역삼1동
127.0332824837,37.4953738379,역삼1동
127.06699,37.503019,대치2동
127.06659201,37.503804797,대치2동
127.064544,37.505254,대치2동
127.0591597219,37.51182328107,삼성1동
127.059498,37.512094,삼성1동
127.057556,37.512721,삼성1동
127.0615148,37.5155186,삼성1동
127.0641360369,37.516628440186,삼성1동
127.064991,37.518024,삼성1동
127.05287909,37.522893103,청담동
127.056212,37.52475781,청담동
127.0642142814,37.502333059827,대치2동
127.0667903,37.504658,대치2동
127.0666454,37.5046603,대치2동
127.1184618819,37.4702566872,세곡동
127.1048207502,37.4678116186,세곡동
127.1097674257,37.4709029988,세곡동
127.08723,37.493865,일원1동
127.0791148884,37.4932436794,일원2동
127.0826748096,37.4852006506,일원본동
127.085381578,37.4831588428,일원본동
127.0958062553,37.4726558946,세곡동
127.1025415943,37.4742504351,세곡동
127.112986,37.475905,세곡동
127.128729,37.478239,장지동
127.130755,37.479097,장지동
127.09049,37.480807,일원본동
126.88338,37.510895,신도림동
127.090312,37.513161,잠실2동
127.051413,37.513789,삼성2동
126.918256,37.515558,신길1동
127.124838,37.540361,천호2동
127.172139,37.561757,강일동
127.111607161,37.4765488043,세곡동
127.0881179237,37.4717680762,세곡동
127.098095,37.472963,세곡동
127.10301933,37.472674243,세곡동
127.10471385,37.475377585,세곡동
127.104,37.4735,세곡동
127.09326454,37.467346652,세곡동
127.094787,37.467826,세곡동
127.0884362,37.4711594,세곡동
127.090686903,37.47222384565,세곡동
127.0572508006,37.5241030942,청담동
127.0562105341,37.5247595235,청담동
127.0545473694,37.521379742,청담동
127.0329141,37.5000287,역삼1동
127.03655073,37.499928318,역삼1동
127.037178,37.501311,역삼1동
127.0374738,37.5022373,역삼1동
127.0406623,37.5023994,역삼1동
127.04443175,37.503557637,역삼1동
127.0561329905,37.505813255101,대치4동
127.060792,37.509213,삼성1동
127.0312852,37.5013326,역삼1동
127.034759,37.503791,역삼1동
127.038713,37.501937,역삼1동
127.0292863602,37.49766741738,역삼1동
127.0468319124,37.502404300218,역삼2동
127.0475445025,37.502566196587,역삼2동
127.064114,37.508834,대치2동
127.0500421,37.5057545,삼성2동
127.0290436,37.5137746,논현1동
127.02897846,37.513861169,논현1동
127.0401622345,37.516540274935,논현2동
127.0471300614,37.51793074154,삼성2동
127.048764,37.5179814,삼성2동
127.0285346272,37.5115030798,논현1동
127.033,37.5126,논현2동
127.0372066508,37.51742521745,논현2동
127.0488347,37.5166086,삼성2동
127.046222,37.515998,삼성2동
127.046,37.516,삼성2동
127.047,37.5207,청담동
127.0531650713,37.522727281171,청담동
127.10210182,37.467098236,세곡동
127.1029138,37.4643056,세곡동
127.1026820124,37.4645049844,세곡동
127.101,37.464,세곡동
127.1015408705,37.461046536966,세곡동
127.101955,37.462091,세곡동
127.123172,37.526748,성내1동
127.1329014,37.5260433,성내3동
127.17973,37.562856,강일동
127.1799953539,37.5592088582,강일동
127.1751072048,37.5655159695,강일동
127.1772602489,37.5627340873,강일동
127.178447,37.567726,강일동
127.1537423213,37.5591846946,고덕1동
127.1397974,37.5535846,암사1동
127.1408189,37.556496,암사3동
127.1403481419,37.555251406651,암사3동
127.1485437,37.5562072,고덕1동
127.15462218,37.554667665,명일2동
127.155497,37.554442,명일2동
127.155966,37.554606,명일2동
127.1556117775,37.55470609461,명일2동
127.1622105,37.557472,고덕2동
127.17318216,37.558797292,강일동
127.131061,37.554097,암사1동
127.1372547,37.5529087,암사1동
127.16485701,37.551718455,상일1동
127.1628686381,37.55066704844,상일1동
127.164805001,37.55122298003,상일1동
127.1615347609,37.5513536388,상일1동
127.1644686198,37.55264251968,상일1동
127.18,37.559,강일동
127.1785801188,37.559474098081,강일동
127.178451059,37.559933801105,강일동
127.1792237232,37.561203034708,강일동
127.12297,37.54202,천호2동
