statNm,statId,addr,lat,lng,bnm,busiNm
서울 동작구 사당로9길 11-5 (저압수용가),SF000585,서울특별시 동작구 사당로9길 11-5,37.486187,126.970759,스타코프,(주)스타코프
삼정이오니아 빌딩,SF000590,서울특별시 노원구 노원로 248,37.639902,127.073808,스타코프,(주)스타코프
몬트하임 (저압수용가),SF000601,서울특별시 동작구 남부순환로263길 30,37.478658,126.976675,스타코프,(주)스타코프
위례 A1-5BL,SF000617,서울특별시 송파구 위례북로 30,37.485369,127.14911,스타코프,(주)스타코프
위례 A1-5BL,SF000617,서울특별시 송파구 위례북로 30,37.485369,127.14911,스타코프,(주)스타코프
위례 A1-5BL,SF000617,서울특별시 송파구 위례북로 30,37.485369,127.14911,스타코프,(주)스타코프
위례 A1-5BL,SF000617,서울특별시 송파구 위례북로 30,37.485369,127.14911,스타코프,(주)스타코프
위례 A1-5BL,SF000617,서울특별시 송파구 위례북로 30,37.485369,127.14911,스타코프,(주)스타코프
위례 A1-5BL,SF000617,서울특별시 송파구 위례북로 30,37.485369,127.14911,스타코프,(주)스타코프
위례 A1-5BL,SF000617,서울특별시 송파구 위례북로 30,37.485369,127.14911,스타코프,(주)스타코프
위례 A1-5BL,SF000617,서울특별시 송파구 위례북로 30,37.485369,127.14911,스타코프,(주)스타코프
위례 A1-5BL,SF000617,서울특별시 송파구 위례북로 30,37.485369,127.14911,스타코프,(주)스타코프
위례 A1-5BL,SF000617,서울특별시 송파구 위례북로 30,37.485369,127.14911,스타코프,(주)스타코프
위례 A1-5BL,SF000617,서울특별시 송파구 위례북로 30,37.485369,127.14911,스타코프,(주)스타코프
위례 A1-5BL,SF000617,서울특별시 송파구 위례북로 30,37.485369,127.14911,스타코프,(주)스타코프
위례 A1-5BL,SF000617,서울특별시 송파구 위례북로 30,37.485369,127.14911,스타코프,(주)스타코프
위례 A1-5BL,SF000617,서울특별시 송파구 위례북로 30,37.485369,127.14911,스타코프,(주)스타코프
위례 A1-5BL,SF000617,서울특별시 송파구 위례북로 30,37.485369,127.14911,스타코프,(주)스타코프
위례 A1-5BL,SF000617,서울특별시 송파구 위례북로 30,37.485369,127.14911,스타코프,(주)스타코프
위례 A1-5BL,SF000617,서울특별시 송파구 위례북로 30,37.485369,127.14911,스타코프,(주)스타코프
위례 A1-5BL,SF000617,서울특별시 송파구 위례북로 30,37.485369,127.14911,스타코프,(주)스타코프
위례 A1-5BL,SF000617,서울특별시 송파구 위례북로 30,37.485369,127.14911,스타코프,(주)스타코프
위례 A1-5BL,SF000617,서울특별시 송파구 위례북로 30,37.485369,127.14911,스타코프,(주)스타코프
