statNm,statId,addr,lat,lng,bnm,busiNm
리센츠 (237동-265동),SF000818,서울특별시 송파구 올림픽로 135,37.5167333,127.0898891,스타코프,(주)스타코프
리센츠 (237동-265동),SF000818,서울특별시 송파구 올림픽로 135,37.5167333,127.0898891,스타코프,(주)스타코프
리센츠 (237동-265동),SF000818,서울특별시 송파구 올림픽로 135,37.5167333,127.0898891,스타코프,(주)스타코프
리센츠 (237동-265동),SF000818,서울특별시 송파구 올림픽로 135,37.5167333,127.0898891,스타코프,(주)스타코프
리센츠 (237동-265동),SF000818,서울특별시 송파구 올림픽로 135,37.5167333,127.0898891,스타코프,(주)스타코프
리센츠 (237동-265동),SF000818,서울특별시 송파구 올림픽로 135,37.5167333,127.0898891,스타코프,(주)스타코프
리센츠 (237동-265동),SF000818,서울특별시 송파구 올림픽로 135,37.5167333,127.0898891,스타코프,(주)스타코프
리센츠 (237동-265동),SF000818,서울특별시 송파구 올림픽로 135,37.5167333,127.0898891,스타코프,(주)스타코프
리센츠 (237동-265동),SF000818,서울특별시 송파구 올림픽로 135,37.5167333,127.0898891,스타코프,(주)스타코프
리센츠 (237동-265동),SF000818,서울특별시 송파구 올림픽로 135,37.5167333,127.0898891,스타코프,(주)스타코프
리센츠 (237동-265동),SF000818,서울특별시 송파구 올림픽로 135,37.5167333,127.0898891,스타코프,(주)스타코프
제일주택 (저압수용가),SF000826,서울특별시 광진구 능동로48길 17,37.562629107,127.08366927,스타코프,(주)스타코프
