행정동코드,시간대구분,남자25세부터64세생활인구수,여자25세부터64세생활인구수,행정동
11110515,12시~14시,0.07395345043888046,0.09536188283102637,청운효자동
11110530,12시~14시,0.20551041766284409,0.24647458580921697,사직동
11110540,12시~14시,0.02939203028864409,0.027568979414703036,삼청동
11110550,12시~14시,0.04384112004658462,0.0652065311800001,부암동
11110560,12시~14시,0.06216674189012457,0.09069634301605484,평창동
11110570,12시~14시,0.004939981104558944,0.0120314950482548,무악동
11110580,12시~14시,0.02040685788186632,0.022041983952627534,교남동
11110600,12시~14시,0.04236896104311033,0.03312840293458842,가회동
11110615,12시~14시,0.6763487628134435,0.6261754140948783,종로1.2.3.4가동
11110630,12시~14시,0.15622295441085335,0.1572279547526441,종로5.6가동
11110640,12시~14시,0.16585076558297845,0.23402608375043313,이화동
11110650,12시~14시,0.10718265934777406,0.14435751908606234,혜화동
11110670,12시~14시,0.04014598461907097,0.04995414475133793,창신제1동
11110680,12시~14시,0.024333308646116294,0.03450281901335291,창신제2동
11110690,12시~14시,0.0,0.0,창신제3동
11110700,12시~14시,0.027330000638402133,0.036091036278205195,숭인제1동
11110710,12시~14시,0.06700350507488137,0.07926752985535618,숭인제2동
11140520,12시~14시,0.33418062563922546,0.35276007890148453,소공동
11140540,12시~14시,0.2565692928443297,0.32863698788642626,회현동
11140550,12시~14시,0.39767062994248126,0.39901513516749654,명동
11140570,12시~14시,0.0951532198668351,0.07591130889715247,필동
11140580,12시~14시,0.07393344999679861,0.07751243046809192,장충동
11140590,12시~14시,0.1917152400530472,0.20261732361998439,광희동
11140605,12시~14시,0.21870446170791855,0.1572596943667976,을지로동
11140615,12시~14시,0.12611940474883174,0.16992833881459146,신당동
11140625,12시~14시,0.062334889039284164,0.08065647893381853,다산동
11140635,12시~14시,0.04720436425342396,0.06910339915246802,약수동
11140645,12시~14시,0.03097826797055386,0.043058578613109785,청구동
11140650,12시~14시,0.0379153111855763,0.053590919605808654,신당제5동
11140665,12시~14시,0.030815882344705527,0.04191728097263603,동화동
11140670,12시~14시,0.059404390902440346,0.07082324635195907,황학동
11140680,12시~14시,0.05635329769386002,0.06488202321738952,중림동
11170510,12시~14시,0.05273811433122519,0.06585505421493126,후암동
11170520,12시~14시,0.044968430335044524,0.05157858778484292,용산2가동
11170530,12시~14시,0.1097125567879266,0.10978226257065604,남영동
11170555,12시~14시,0.08836490746086136,0.11963677351219015,청파동
11170560,12시~14시,0.12245725766948032,0.13911782724526123,원효로제1동
11170570,12시~14시,0.06158205887474286,0.058798691836506364,원효로제2동
11170580,12시~14시,0.027343401459841047,0.042771505152058895,효창동
11170590,12시~14시,0.017626504454299283,0.027202220441571362,용문동
11170625,12시~14시,0.3825343085624401,0.40655163827580476,한강로동
11170630,12시~14시,0.09505610819133363,0.15306655402323574,이촌제1동
11170640,12시~14시,0.018822830101552602,0.015067459449245355,이촌제2동
11170650,12시~14시,0.05957134953676502,0.06874594792413997,이태원제1동
11170660,12시~14시,0.04282192880924335,0.049688742816093534,이태원제2동
11170685,12시~14시,0.2011464648946871,0.26161088172227775,한남동
11170690,12시~14시,0.07466564283808487,0.09695875483211967,서빙고동
11170700,12시~14시,0.03761674413438812,0.03919260905745628,보광동
11200520,12시~14시,0.039870580030168926,0.06641953199008867,왕십리제2동
11200535,12시~14시,0.12397762938219198,0.18741457739262649,왕십리도선동
11200540,12시~14시,0.09974864516275221,0.11236786385305403,마장동
11200550,12시~14시,0.10010541446098019,0.108182321259194,사근동
11200560,12시~14시,0.08063898404801446,0.10634842644552953,행당제1동
11200570,12시~14시,0.053135567895087096,0.08899831405216455,행당제2동
11200580,12시~14시,0.01783568812476841,0.031090182341580563,응봉동
11200590,12시~14시,0.045843231907318246,0.08356727478693228,금호1가동
11200615,12시~14시,0.056647858348607166,0.09333467250141024,금호2.3가동
11200620,12시~14시,0.03788600092901759,0.05659037977158543,금호4가동
11200645,12시~14시,0.09319934867011623,0.1613668669120759,옥수동
11200650,12시~14시,0.11711425373964202,0.1293203257285979,성수1가제1동
11200660,12시~14시,0.14847052475486364,0.15879839018156014,성수1가제2동
11200670,12시~14시,0.13251321061779756,0.12201967356767263,성수2가제1동
11200690,12시~14시,0.3295299143837871,0.3131383647373527,성수2가제3동
11200720,12시~14시,0.05072792313941525,0.0395586087615136,송정동
11200790,12시~14시,0.10916786158930622,0.10683587743749065,용답동
11215710,12시~14시,0.16741743493887468,0.19402512389500026,화양동
11215730,12시~14시,0.09162573617376955,0.10274820513992483,군자동
11215740,12시~14시,0.06646971751738578,0.08056216239912417,중곡제1동
11215750,12시~14시,0.06145946159667087,0.08622650885104295,중곡제2동
11215760,12시~14시,0.05354442140263241,0.06982780204204325,중곡제3동
11215770,12시~14시,0.08376196682514286,0.12417184592326116,중곡제4동
11215780,12시~14시,0.06759810273619751,0.08629597549095398,능동
11215810,12시~14시,0.12161494608230192,0.19625660654912488,광장동
11215820,12시~14시,0.10736493487057526,0.14608565174021418,자양제1동
11215830,12시~14시,0.07664817401519171,0.10319081918775808,자양제2동
11215840,12시~14시,0.08165336637204527,0.12929490759638268,자양제3동
11215847,12시~14시,0.10658655804338638,0.12983777612016878,자양제4동
11215850,12시~14시,0.09072250734099017,0.11676893866978913,구의제1동
