행정동코드,시간대구분,남자25세부터64세생활인구수,여자25세부터64세생활인구수,행정동
11110515,18시~20시,0.08188778535197615,0.11250504297029404,청운효자동
11110530,18시~20시,0.18144835806694085,0.21301285680731233,사직동
11110540,18시~20시,0.010409685799020057,0.004297357645268229,삼청동
11110550,18시~20시,0.06614551623830454,0.0999458700138291,부암동
11110560,18시~20시,0.09046473710276419,0.14039380879290853,평창동
11110570,18시~20시,0.009239918628422588,0.01706233116604087,무악동
11110580,18시~20시,0.02240718674120493,0.026003568430666445,교남동
11110600,18시~20시,0.018061802049878558,0.013235041082683079,가회동
11110615,18시~20시,0.5732714606017602,0.47985457340085175,종로1.2.3.4가동
11110630,18시~20시,0.11948760943228834,0.1002509541625442,종로5.6가동
11110640,18시~20시,0.13941865394813,0.20034309507219564,이화동
11110650,18시~20시,0.16060724976052929,0.2175424141080611,혜화동
11110670,18시~20시,0.04434616294562571,0.046405918970056435,창신제1동
11110680,18시~20시,0.037335650721557714,0.04903732683389601,창신제2동
11110690,18시~20시,0.0,0.0,창신제3동
11110700,18시~20시,0.04099628646535276,0.04837984715679088,숭인제1동
11110710,18시~20시,0.07662855822500468,0.0788754265022665,숭인제2동
11140520,18시~20시,0.19863639222946178,0.17458667263959818,소공동
11140540,18시~20시,0.16986075966212658,0.17042863708805017,회현동
11140550,18시~20시,0.264417551275047,0.23254289243066892,명동
11140570,18시~20시,0.07559259574359765,0.043549651020015935,필동
11140580,18시~20시,0.06245504297598997,0.060023281751885905,장충동
11140590,18시~20시,0.18278151903429685,0.18334163963365752,광희동
11140605,18시~20시,0.15058504407590323,0.09122892293399198,을지로동
11140615,18시~20시,0.17066286302210834,0.21008014434335567,신당동
11140625,18시~20시,0.08756738913711402,0.10637449253442749,다산동
11140635,18시~20시,0.08273713359994467,0.11752253531587975,약수동
11140645,18시~20시,0.048417953592226365,0.06882251334630118,청구동
11140650,18시~20시,0.06303138655174059,0.08208353872775737,신당제5동
11140665,18시~20시,0.04351741283992268,0.05479410164163768,동화동
11140670,18시~20시,0.07537573181003335,0.09538493458176017,황학동
11140680,18시~20시,0.051737209460754094,0.053242701942008384,중림동
11170510,18시~20시,0.07461502704753174,0.09291310098504202,후암동
11170520,18시~20시,0.07079039525976193,0.0858569759691547,용산2가동
11170530,18시~20시,0.11735322325825831,0.10483622734894008,남영동
11170555,18시~20시,0.12971412880112773,0.1692615236088926,청파동
11170560,18시~20시,0.1575487367137914,0.18093489699989615,원효로제1동
11170570,18시~20시,0.06898872381855989,0.0769091967998527,원효로제2동
11170580,18시~20시,0.04695364238958845,0.07154599402904535,효창동
11170590,18시~20시,0.030768131626673665,0.04264459159769888,용문동
11170625,18시~20시,0.42023596815413433,0.47120585917730845,한강로동
11170630,18시~20시,0.17802116378030303,0.24970573430507562,이촌제1동
11170640,18시~20시,0.031990779479738315,0.027718891336976352,이촌제2동
11170650,18시~20시,0.08608154517566932,0.08463454666173342,이태원제1동
11170660,18시~20시,0.06241015195020362,0.07888412322436295,이태원제2동
11170685,18시~20시,0.27658358059498306,0.33740664193081704,한남동
11170690,18시~20시,0.10940602834763902,0.1321269840867508,서빙고동
11170700,18시~20시,0.058618020972585436,0.06093863077534114,보광동
11200520,18시~20시,0.0738000421872279,0.11503660949704511,왕십리제2동
11200535,18시~20시,0.194541022372793,0.27894957874454507,왕십리도선동
11200540,18시~20시,0.13586262706465493,0.16459881954729547,마장동
11200550,18시~20시,0.14125120960527568,0.13447209317760642,사근동
