`regist_ym`|`fuel_knd_nm`|`vhcle_knd_ty`|`vhcle_prpos_se`|`cnt`|`ldadng_dt`
`201710`|`LNG`|`승용`|`사업용`|`0`|`2018-07-25 13:09:37`
`201710`|`LNG`|`승합`|`비사업용`|`0`|`2018-07-25 13:09:37`
`201710`|`LNG`|`승합`|`사업용`|`0`|`2018-07-25 13:09:37`
`201710`|`LNG`|`화물`|`비사업용`|`0`|`2018-07-25 13:09:37`
`201710`|`LNG`|`화물`|`사업용`|`0`|`2018-07-25 13:09:37`
`201710`|`LNG`|`특수`|`비사업용`|`0`|`2018-07-25 13:09:37`
`201710`|`LNG`|`특수`|`사업용`|`0`|`2018-07-25 13:09:37`
`201710`|`하이브리드(휘발유+전기)`|`승용`|`비사업용`|`50624`|`2018-07-25 13:09:37`
`201710`|`하이브리드(휘발유+전기)`|`승용`|`사업용`|`3444`|`2018-07-25 13:09:37`
`201710`|`하이브리드(휘발유+전기)`|`승합`|`비사업용`|`0`|`2018-07-25 13:09:37`
`201710`|`하이브리드(휘발유+전기)`|`승합`|`사업용`|`0`|`2018-07-25 13:09:37`
`201710`|`하이브리드(휘발유+전기)`|`화물`|`비사업용`|`0`|`2018-07-25 13:09:37`
`201710`|`하이브리드(휘발유+전기)`|`화물`|`사업용`|`0`|`2018-07-25 13:09:37`
`201710`|`하이브리드(휘발유+전기)`|`특수`|`비사업용`|`0`|`2018-07-25 13:09:37`
`201710`|`하이브리드(휘발유+전기)`|`특수`|`사업용`|`0`|`2018-07-25 13:09:37`
`201710`|`하이브리드(경유+전기)`|`승용`|`비사업용`|`25`|`2018-07-25 13:09:37`
`201710`|`하이브리드(경유+전기)`|`승용`|`사업용`|`2`|`2018-07-25 13:09:37`
`201710`|`하이브리드(경유+전기)`|`승합`|`비사업용`|`1`|`2018-07-25 13:09:37`
`201710`|`하이브리드(경유+전기)`|`승합`|`사업용`|`0`|`2018-07-25 13:09:37`
`201710`|`하이브리드(경유+전기)`|`화물`|`비사업용`|`0`|`2018-07-25 13:09:37`
`201710`|`하이브리드(경유+전기)`|`화물`|`사업용`|`0`|`2018-07-25 13:09:37`
`201710`|`하이브리드(경유+전기)`|`특수`|`비사업용`|`0`|`2018-07-25 13:09:37`
