`regist_ym`,`fuel_knd_nm`,`vhcle_knd_ty`,`vhcle_prpos_se`,`cnt`,`ldadng_dt`
202107,하이브리드(LNG+전기),승용,사업용,0,2021-08-20 11:57:31
202107,하이브리드(LNG+전기),승합,비사업용,0,2021-08-20 11:57:31
202107,하이브리드(LNG+전기),승합,사업용,0,2021-08-20 11:57:31
202107,하이브리드(LNG+전기),화물,비사업용,0,2021-08-20 11:57:31
202107,하이브리드(LNG+전기),화물,사업용,0,2021-08-20 11:57:31
202107,하이브리드(LNG+전기),특수,비사업용,0,2021-08-20 11:57:31
202107,하이브리드(LNG+전기),특수,사업용,0,2021-08-20 11:57:31
202107,수소,승용,비사업용,1911,2021-08-20 11:57:31
202107,수소,승용,사업용,133,2021-08-20 11:57:31
202107,수소,승합,비사업용,5,2021-08-20 11:57:31
202107,수소,승합,사업용,4,2021-08-20 11:57:31
202107,수소,화물,비사업용,0,2021-08-20 11:57:31
202107,수소,화물,사업용,0,2021-08-20 11:57:31
202107,수소,특수,비사업용,0,2021-08-20 11:57:31
202107,수소,특수,사업용,0,2021-08-20 11:57:31
202107,기타연료,승용,비사업용,153,2021-08-20 11:57:31
202107,기타연료,승용,사업용,1,2021-08-20 11:57:31
202107,기타연료,승합,비사업용,1324,2021-08-20 11:57:31
202107,기타연료,승합,사업용,0,2021-08-20 11:57:31
202107,기타연료,화물,비사업용,3547,2021-08-20 11:57:31
202107,기타연료,화물,사업용,1239,2021-08-20 11:57:31
202107,기타연료,특수,비사업용,489,2021-08-20 11:57:31
202107,기타연료,특수,사업용,0,2021-08-20 11:57:31
