사용본거지법정동명,동별 총 대수,휘발유,경유,LPG,전기,CNG,수소,기타연료,하이브리드,법정동코드,동리명
서울특별시 관악구 신림동,59292,29626,21530,5725,285,186,18,77,1845,1162010200,신림동
서울특별시 관악구 신림동,59292,29626,21530,5725,285,186,18,77,1845,1162010200,신림동
서울특별시 관악구 신림동,59292,29626,21530,5725,285,186,18,77,1845,1162010200,신림동
서울특별시 관악구 신림동,59292,29626,21530,5725,285,186,18,77,1845,1162010200,신림동
서울특별시 관악구 남현동,5034,2724,1704,356,15,8,6,2,219,1162010300,남현동
서울특별시 서초구 방배동,38397,22030,11902,1758,273,302,30,57,2045,1165010100,방배동
서울특별시 서초구 방배동,38397,22030,11902,1758,273,302,30,57,2045,1165010100,방배동
서울특별시 서초구 방배동,38397,22030,11902,1758,273,302,30,57,2045,1165010100,방배동
서울특별시 서초구 방배동,38397,22030,11902,1758,273,302,30,57,2045,1165010100,방배동
서울특별시 서초구 방배동,38397,22030,11902,1758,273,302,30,57,2045,1165010100,방배동
서울특별시 서초구 방배동,38397,22030,11902,1758,273,302,30,57,2045,1165010100,방배동
서울특별시 서초구 양재동,24988,11635,9847,1199,788,33,91,86,1309,1165010200,양재동
서울특별시 서초구 양재동,24988,11635,9847,1199,788,33,91,86,1309,1165010200,양재동
서울특별시 서초구 우면동,9134,4988,2746,728,79,32,20,34,507,1165010300,우면동
서울특별시 서초구 원지동,155,56,78,16,1,0,0,0,4,1165010400,원지동
서울특별시 서초구 잠원동,17756,11302,4741,532,91,2,9,29,1050,1165010600,잠원동
서울특별시 서초구 잠원동,17756,11302,4741,532,91,2,9,29,1050,1165010600,잠원동
서울특별시 서초구 반포동,27780,17158,7917,680,397,2,19,55,1552,1165010700,반포동
서울특별시 서초구 반포동,27780,17158,7917,680,397,2,19,55,1552,1165010700,반포동
서울특별시 서초구 반포동,27780,17158,7917,680,397,2,19,55,1552,1165010700,반포동
서울특별시 서초구 반포동,27780,17158,7917,680,397,2,19,55,1552,1165010700,반포동
서울특별시 서초구 서초동,51930,30051,16402,1303,1224,26,41,144,2739,1165010800,서초동
서울특별시 서초구 서초동,51930,30051,16402,1303,1224,26,41,144,2739,1165010800,서초동
서울특별시 서초구 서초동,51930,30051,16402,1303,1224,26,41,144,2739,1165010800,서초동
서울특별시 서초구 서초동,51930,30051,16402,1303,1224,26,41,144,2739,1165010800,서초동
서울특별시 서초구 내곡동,4431,2074,1442,623,66,14,8,11,193,1165010900,내곡동
서울특별시 서초구 염곡동,853,269,361,60,4,122,5,1,31,1165011000,염곡동
서울특별시 서초구 신원동,3042,1616,1012,184,41,0,3,9,177,1165011100,신원동
서울특별시 강남구 역삼동,36627,19293,10579,1311,679,9,14,78,4664,1168010100,역삼동
서울특별시 강남구 역삼동,36627,19293,10579,1311,679,9,14,78,4664,1168010100,역삼동
서울특별시 강남구 개포동,22928,13251,6839,1162,189,172,17,33,1265,1168010300,개포동
서울특별시 강남구 개포동,22928,13251,6839,1162,189,172,17,33,1265,1168010300,개포동
서울특별시 강남구 개포동,22928,13251,6839,1162,189,172,17,33,1265,1168010300,개포동
서울특별시 강남구 개포동,22928,13251,6839,1162,189,172,17,33,1265,1168010300,개포동
서울특별시 강남구 청담동,12041,7151,3846,266,130,6,6,32,604,1168010400,청담동
서울특별시 강남구 삼성동,20319,11960,6329,649,233,33,13,97,1005,1168010500,삼성동
서울특별시 강남구 삼성동,20319,11960,6329,649,233,33,13,97,1005,1168010500,삼성동
서울특별시 강남구 대치동,38994,20460,8768,1069,6188,6,25,46,2432,1168010600,대치동
서울특별시 강남구 대치동,38994,20460,8768,1069,6188,6,25,46,2432,1168010600,대치동
서울특별시 강남구 대치동,38994,20460,8768,1069,6188,6,25,46,2432,1168010600,대치동
서울특별시 강남구 대치동,38994,20460,8768,1069,6188,6,25,46,2432,1168010600,대치동
서울특별시 강남구 신사동,6674,3692,2397,235,50,0,1,18,281,1168010700,신사동
서울특별시 강남구 신사동,6674,3692,2397,235,50,0,1,18,281,1168010700,신사동
서울특별시 강남구 논현동,20920,11795,7345,789,151,9,10,54,767,1168010800,논현동
서울특별시 강남구 논현동,20920,11795,7345,789,151,9,10,54,767,1168010800,논현동
서울특별시 강남구 압구정동,13629,8784,3627,294,71,0,9,17,827,1168011000,압구정동
서울특별시 강남구 압구정동,13629,8784,3627,294,71,0,9,17,827,1168011000,압구정동
서울특별시 강남구 세곡동,5815,2856,2024,560,47,19,5,15,289,1168011100,세곡동
서울특별시 강남구 자곡동,8605,4710,2578,731,82,0,10,18,476,1168011200,자곡동
서울특별시 강남구 율현동,4394,2122,1549,566,21,0,1,7,128,1168011300,율현동
서울특별시 강남구 일원동,14748,7958,3769,2047,127,5,22,10,810,1168011400,일원동
서울특별시 강남구 일원동,14748,7958,3769,2047,127,5,22,10,810,1168011400,일원동
서울특별시 강남구 일원동,14748,7958,3769,2047,127,5,22,10,810,1168011400,일원동
서울특별시 강남구 일원동,14748,7958,3769,2047,127,5,22,10,810,1168011400,일원동
서울특별시 강남구 수서동,8293,4521,2436,779,56,1,6,7,487,1168011500,수서동
서울특별시 강남구 수서동,8293,4521,2436,779,56,1,6,7,487,1168011500,수서동
서울특별시 강남구 수서동,8293,4521,2436,779,56,1,6,7,487,1168011500,수서동
서울특별시 강남구 도곡동,22707,14321,6247,520,209,5,23,130,1252,1168011800,도곡동
서울특별시 강남구 도곡동,22707,14321,6247,520,209,5,23,130,1252,1168011800,도곡동
서울특별시 송파구 잠실동,36859,22832,10167,1470,273,10,19,85,2003,1171010100,잠실동
서울특별시 송파구 잠실동,36859,22832,10167,1470,273,10,19,85,2003,1171010100,잠실동
서울특별시 송파구 잠실동,36859,22832,10167,1470,273,10,19,85,2003,1171010100,잠실동
서울특별시 송파구 잠실동,36859,22832,10167,1470,273,10,19,85,2003,1171010100,잠실동
서울특별시 송파구 신천동,22749,8780,12463,448,160,15,8,70,805,1171010200,신천동
서울특별시 송파구 신천동,22749,8780,12463,448,160,15,8,70,805,1171010200,신천동
서울특별시 송파구 풍납동,12271,6466,3950,1212,71,5,13,22,532,1171010300,풍납동
서울특별시 송파구 풍납동,12271,6466,3950,1212,71,5,13,22,532,1171010300,풍납동
서울특별시 송파구 송파동,14525,7938,4916,910,75,0,11,26,649,1171010400,송파동
서울특별시 송파구 송파동,14525,7938,4916,910,75,0,11,26,649,1171010400,송파동
서울특별시 송파구 석촌동,10057,5241,3587,785,55,2,4,12,371,1171010500,석촌동
서울특별시 송파구 삼전동,9049,4814,3058,777,55,2,6,33,304,1171010600,삼전동
서울특별시 송파구 가락동,35043,18864,11736,2264,238,6,26,106,1803,1171010700,가락동
서울특별시 송파구 가락동,35043,18864,11736,2264,238,6,26,106,1803,1171010700,가락동
서울특별시 송파구 가락동,35043,18864,11736,2264,238,6,26,106,1803,1171010700,가락동
서울특별시 송파구 문정동,29434,15626,10690,1423,186,11,21,62,1415,1171010800,문정동
서울특별시 송파구 문정동,29434,15626,10690,1423,186,11,21,62,1415,1171010800,문정동
서울특별시 송파구 문정동,29434,15626,10690,1423,186,11,21,62,1415,1171010800,문정동
서울특별시 송파구 장지동,17061,7873,5050,2366,156,661,10,58,887,1171010900,장지동
서울특별시 송파구 장지동,17061,7873,5050,2366,156,661,10,58,887,1171010900,장지동
서울특별시 송파구 장지동,17061,7873,5050,2366,156,661,10,58,887,1171010900,장지동
서울특별시 송파구 방이동,21407,12074,6912,1115,126,3,15,44,1118,1171011100,방이동
서울특별시 송파구 방이동,21407,12074,6912,1115,126,3,15,44,1118,1171011100,방이동
서울특별시 송파구 방이동,21407,12074,6912,1115,126,3,15,44,1118,1171011100,방이동
서울특별시 송파구 오금동,13934,7303,4900,977,76,10,12,22,634,1171011200,오금동
서울특별시 송파구 거여동,11876,6161,4168,1010,61,3,9,17,447,1171011300,거여동
서울특별시 송파구 거여동,11876,6161,4168,1010,61,3,9,17,447,1171011300,거여동
서울특별시 송파구 거여동,11876,6161,4168,1010,61,3,9,17,447,1171011300,거여동
서울특별시 송파구 마천동,11809,5189,4540,1579,69,104,6,20,302,1171011400,마천동
서울특별시 송파구 마천동,11809,5189,4540,1579,69,104,6,20,302,1171011400,마천동
서울특별시 강동구 명일동,14174,8052,4329,960,83,8,13,27,702,1174010100,명일동
서울특별시 강동구 명일동,14174,8052,4329,960,83,8,13,27,702,1174010100,명일동
서울특별시 강동구 고덕동,16687,9076,5502,959,143,2,25,47,933,1174010200,고덕동
서울특별시 강동구 고덕동,16687,9076,5502,959,143,2,25,47,933,1174010200,고덕동
서울특별시 강동구 상일동,16875,9269,5326,1066,150,6,34,40,984,1174010300,상일동
서울특별시 강동구 상일동,16875,9269,5326,1066,150,6,34,40,984,1174010300,상일동
서울특별시 강동구 길동,15896,7281,5373,2556,124,2,9,28,523,1174010500,길동
서울특별시 강동구 둔촌동,8664,4394,3030,835,40,2,6,15,342,1174010600,둔촌동
서울특별시 강동구 둔촌동,8664,4394,3030,835,40,2,6,15,342,1174010600,둔촌동
서울특별시 강동구 암사동,21686,11341,7336,1884,105,5,16,42,957,1174010700,암사동
서울특별시 강동구 암사동,21686,11341,7336,1884,105,5,16,42,957,1174010700,암사동
서울특별시 강동구 암사동,21686,11341,7336,1884,105,5,16,42,957,1174010700,암사동
서울특별시 강동구 성내동,22186,10950,8047,2171,155,15,28,47,773,1174010800,성내동
서울특별시 강동구 성내동,22186,10950,8047,2171,155,15,28,47,773,1174010800,성내동
서울특별시 강동구 성내동,22186,10950,8047,2171,155,15,28,47,773,1174010800,성내동
서울특별시 강동구 천호동,25879,12586,9668,2553,131,5,23,51,862,1174010900,천호동
서울특별시 강동구 천호동,25879,12586,9668,2553,131,5,23,51,862,1174010900,천호동
서울특별시 강동구 천호동,25879,12586,9668,2553,131,5,23,51,862,1174010900,천호동
서울특별시 강동구 강일동,10528,4970,3557,1291,98,185,17,23,387,1174011000,강일동
