`regist_ym`,`fuel_knd_nm`,`vhcle_knd_ty`,`vhcle_prpos_se`,`cnt`
201601,하이브리드(경유+전기),승합,사업용,0
201601,하이브리드(경유+전기),화물,비사업용,0
201601,하이브리드(경유+전기),화물,사업용,0
201601,하이브리드(경유+전기),특수,비사업용,0
201601,하이브리드(경유+전기),특수,사업용,0
201601,하이브리드(LPG+전기),승용,비사업용,2246
201601,하이브리드(LPG+전기),승용,사업용,4
201601,하이브리드(LPG+전기),승합,비사업용,0
201601,하이브리드(LPG+전기),승합,사업용,0
201601,하이브리드(LPG+전기),화물,비사업용,0
201601,하이브리드(LPG+전기),화물,사업용,0
201601,하이브리드(LPG+전기),특수,비사업용,0
201601,하이브리드(LPG+전기),특수,사업용,0
201601,하이브리드(CNG+전기),승용,비사업용,0
201601,하이브리드(CNG+전기),승용,사업용,0
201601,하이브리드(CNG+전기),승합,비사업용,0
201601,하이브리드(CNG+전기),승합,사업용,31
201601,하이브리드(CNG+전기),화물,비사업용,0
201601,하이브리드(CNG+전기),화물,사업용,0
201601,하이브리드(CNG+전기),특수,비사업용,0
201601,하이브리드(CNG+전기),특수,사업용,0
201601,수소,승용,비사업용,2
201601,수소,승용,사업용,0
201601,수소,승합,비사업용,0
201601,수소,승합,사업용,0
201601,수소,화물,비사업용,0
201601,수소,화물,사업용,0
201601,수소,특수,비사업용,0
201601,수소,특수,사업용,0
201601,기타연료,승용,비사업용,543
201601,기타연료,승용,사업용,0
201601,기타연료,승합,비사업용,652
201601,기타연료,승합,사업용,0
201601,기타연료,화물,비사업용,1946
201601,기타연료,화물,사업용,1130
201601,기타연료,특수,비사업용,70
201601,기타연료,특수,사업용,6
201810,휘발유,승용,비사업용,1571796
201810,휘발유,승용,사업용,19129
201810,휘발유,승합,비사업용,1018
201810,휘발유,승합,사업용,39
201810,휘발유,화물,비사업용,1812
201810,휘발유,화물,사업용,1
201810,휘발유,특수,비사업용,18
201810,휘발유,특수,사업용,0
201810,경유,승용,비사업용,730000
201810,경유,승용,사업용,12971
201810,경유,승합,비사업용,86396
201810,경유,승합,사업용,7560
201810,경유,화물,비사업용,252963
201810,경유,화물,사업용,49820
201810,경유,특수,비사업용,2757
201810,경유,특수,사업용,4941
201810,엘피지,승용,비사업용,155637
201810,엘피지,승용,사업용,85822
201810,엘피지,승합,비사업용,17099
201810,엘피지,승합,사업용,98
201810,엘피지,화물,비사업용,23121
201810,엘피지,화물,사업용,5764
201810,엘피지,특수,비사업용,19
201810,엘피지,특수,사업용,63
201810,전기,승용,비사업용,4312
201810,전기,승용,사업용,4280
201810,전기,승합,비사업용,3
201810,전기,승합,사업용,0
201810,전기,화물,비사업용,23
201810,전기,화물,사업용,0
201810,전기,특수,비사업용,1
201810,전기,특수,사업용,0
201810,CNG,승용,비사업용,549
201810,CNG,승용,사업용,34
201810,CNG,승합,비사업용,62
201810,CNG,승합,사업용,8586
201810,CNG,화물,비사업용,415
201810,CNG,화물,사업용,3
201810,CNG,특수,비사업용,3
201810,CNG,특수,사업용,0
201810,하이브리드(휘발유+전기),승용,비사업용,64886
201810,하이브리드(휘발유+전기),승용,사업용,4217
201810,하이브리드(휘발유+전기),승합,비사업용,0
201810,하이브리드(휘발유+전기),승합,사업용,0
201810,하이브리드(휘발유+전기),화물,비사업용,0
201810,하이브리드(휘발유+전기),화물,사업용,0
201810,하이브리드(휘발유+전기),특수,비사업용,0
201810,하이브리드(휘발유+전기),특수,사업용,0
201810,하이브리드(경유+전기),승용,비사업용,28
201810,하이브리드(경유+전기),승용,사업용,0
201810,하이브리드(경유+전기),승합,비사업용,1
201810,하이브리드(경유+전기),승합,사업용,0
201810,하이브리드(경유+전기),화물,비사업용,0
201810,하이브리드(경유+전기),화물,사업용,0
201810,하이브리드(경유+전기),특수,비사업용,0
201810,하이브리드(경유+전기),특수,사업용,0
201810,하이브리드(LPG+전기),승용,비사업용,1966
201810,하이브리드(LPG+전기),승용,사업용,0
201810,하이브리드(LPG+전기),승합,비사업용,0
201810,하이브리드(LPG+전기),승합,사업용,0
201810,하이브리드(LPG+전기),화물,비사업용,0
201810,하이브리드(LPG+전기),화물,사업용,0
201810,하이브리드(LPG+전기),특수,비사업용,0
201810,하이브리드(LPG+전기),특수,사업용,0
201810,하이브리드(CNG+전기),승용,비사업용,0
201810,하이브리드(CNG+전기),승용,사업용,0
201810,하이브리드(CNG+전기),승합,비사업용,0
201810,하이브리드(CNG+전기),승합,사업용,51
201810,하이브리드(CNG+전기),화물,비사업용,0
201810,하이브리드(CNG+전기),화물,사업용,0
201810,하이브리드(CNG+전기),특수,비사업용,0
201810,하이브리드(CNG+전기),특수,사업용,0
201810,수소,승용,비사업용,61
201810,수소,승용,사업용,0
201810,수소,승합,비사업용,0
201810,수소,승합,사업용,0
201810,수소,화물,비사업용,0
201810,수소,화물,사업용,0
201810,수소,특수,비사업용,0
201810,수소,특수,사업용,0
201810,기타연료,승용,비사업용,301
201810,기타연료,승용,사업용,0
201810,기타연료,승합,비사업용,1100
201810,기타연료,승합,사업용,1
201810,기타연료,화물,비사업용,2849
201810,기타연료,화물,사업용,1191
201603,휘발유,승용,비사업용,1580108
201603,휘발유,승용,사업용,17198
201603,휘발유,승합,비사업용,1225
201603,휘발유,승합,사업용,36
201603,휘발유,화물,비사업용,1640
201603,휘발유,화물,사업용,0
201603,휘발유,특수,비사업용,21
201603,휘발유,특수,사업용,0
201603,경유,승용,비사업용,658895
201603,경유,승용,사업용,8608
201603,경유,승합,비사업용,94534
201603,경유,승합,사업용,8061
201603,경유,화물,비사업용,256316
201603,경유,화물,사업용,47852
201603,경유,특수,비사업용,2136
201603,경유,특수,사업용,4595
201603,엘피지,승용,비사업용,179856
201603,엘피지,승용,사업용,88815
201603,엘피지,승합,비사업용,26801
201603,엘피지,승합,사업용,63
201603,엘피지,화물,비사업용,30523
201603,엘피지,화물,사업용,6991
