STD_YM,ADMI_CD,ADMI_NM,RSPOP_CNT,CTY_NM
202107,11590520,노량진2동,67,동작구
202107,11620565,성현동,381,관악구
202107,11740570,암사1동,468,강동구
202107,11230710,회기동,77,동대문구
202107,11305534,삼양동,284,강북구
202107,11350580,월계3동,516,노원구
202107,11620735,대학동,150,관악구
202107,11740515,강일동,818,강동구
202107,11740685,길동,565,강동구
202107,11320511,창1동,286,도봉구
202107,11410520,천연동,289,서대문구
202107,11350695,상계6.7동,520,노원구
202107,11680521,논현1동,164,강남구
202107,11290630,정릉2동,315,성북구
202107,11290685,길음2동,329,성북구
202107,11290580,돈암1동,179,성북구
202107,11110580,교남동,184,종로구
202107,11230600,답십리1동,655,동대문구
202107,11290780,장위3동,420,성북구
202107,11545690,시흥3동,112,금천구
202107,11305625,수유2동,236,강북구
202107,11470670,신정6동,349,양천구
202107,11680700,세곡동,736,강남구
202107,11350630,상계1동,480,노원구
202107,11620645,서원동,163,관악구
202107,11170520,용산2가동,73,용산구
202107,11110570,무악동,129,종로구
202107,11170660,이태원2동,86,용산구
202107,11740620,천호3동,364,강동구
202107,11260550,면목5동,353,중랑구
202107,11470600,신월5동,198,양천구
202107,11170690,서빙고동,141,용산구
202107,11350624,중계4동,188,노원구
202107,11590540,상도2동,591,동작구
202107,11590560,상도4동,388,동작구
202107,11680740,일원2동,240,강남구
202107,11710580,송파1동,280,송파구
202107,11200535,왕십리도선동,557,성동구
202107,11545610,독산1동,823,금천구
202107,11620575,행운동,267,관악구
202107,11680600,대치1동,196,강남구
202107,11110560,평창동,243,종로구
202107,11350710,상계9동,273,노원구
202107,11470680,신정7동,356,양천구
202107,11350560,월계1동,252,노원구
202107,11500540,화곡1동,676,강서구
202107,11200720,송정동,128,성동구
202107,11560650,신길3동,285,영등포구
202107,11710631,가락1동,726,송파구
202107,11320680,쌍문3동,176,도봉구
202107,11380632,신사2동,227,은평구
202107,11230705,청량리동,144,동대문구
202107,11620545,청림동,325,관악구
202107,11740540,명일2동,158,강동구
202107,11305660,인수동,308,강북구
202107,11200620,금호4가동,349,성동구
202107,11380600,응암3동,222,은평구
202107,11110540,삼청동,15,종로구
202107,11440590,용강동,389,마포구
202107,11560610,양평1동,382,영등포구
202107,11560720,대림3동,287,영등포구
202107,11260540,면목4동,247,중랑구
202107,11650530,서초3동,429,서초구
202107,11170530,남영동,40,용산구
202107,11620595,청룡동,294,관악구
202107,11320513,창3동,149,도봉구
202107,11320681,쌍문4동,217,도봉구
202107,11170625,한강로동,356,용산구
202107,11350640,상계2동,180,노원구
202107,11680630,대치4동,110,강남구
202107,11200560,행당1동,231,성동구
202107,11500560,화곡3동,276,강서구
202107,11170685,한남동,297,용산구
202107,11590630,사당2동,450,동작구
202107,11140520,소공동,38,중구
202107,11590651,사당5동,271,동작구
202107,11140540,회현동,37,중구
202107,11140680,중림동,269,중구
202107,11590605,흑석동,495,동작구
202107,11110630,종로5.6가동,19,종로구
202107,11620745,삼성동,181,관악구
202107,11740600,천호1동,295,강동구
202107,11260580,상봉1동,390,중랑구
202107,11320514,창4동,374,도봉구
202107,11350612,하계2동,279,노원구
202107,11470611,신월7동,243,양천구
202107,11710561,방이1동,186,송파구
202107,11440660,서교동,180,마포구
202107,11590650,사당4동,195,동작구
202107,11710632,가락2동,504,송파구
202107,11230740,이문1동,138,동대문구
202107,11290770,장위2동,139,성북구
202107,11500615,우장산동,620,강서구
202107,11650652,양재2동,330,서초구
202107,11545640,독산4동,163,금천구
202107,11500590,화곡본동,465,강서구
202107,11680610,대치2동,312,강남구
202107,11260630,묵2동,224,중랑구
202107,11305645,우이동,219,강북구
202107,11545630,독산3동,228,금천구
202107,11200520,왕십리2동,307,성동구
202107,11590680,신대방2동,272,동작구
202107,11710550,마천2동,162,송파구
202107,11110650,혜화동,95,종로구
202107,11215730,군자동,181,광진구
202107,11215820,자양1동,185,광진구
202107,11470610,신월6동,380,양천구
202107,11560700,대림1동,246,영등포구
202107,11650531,서초4동,506,서초구
202107,11710540,마천1동,192,송파구
202107,11740690,둔촌1동,0,강동구
202107,11440600,대흥동,176,마포구
202107,11710642,문정2동,378,송파구
202107,11140590,광희동,32,중구
202107,11215740,중곡1동,167,광진구
202107,11560620,양평2동,421,영등포구
202107,11290760,장위1동,425,성북구
202107,11680650,역삼2동,497,강남구
202107,11230730,휘경2동,243,동대문구
202107,11470590,신월4동,263,양천구
202107,11680690,개포4동,387,강남구
202107,11140570,필동,40,중구
202107,11380690,진관동,756,은평구
202107,11620725,조원동,134,관악구
202107,11380570,대조동,237,은평구
202107,11440565,공덕동,583,마포구
202107,11350665,상계3.4동,257,노원구
202107,11380551,갈현1동,216,은평구
202107,11680531,논현2동,219,강남구
202107,11530560,구로5동,472,구로구
202107,11620695,신림동,88,관악구
202107,11260520,면목2동,255,중랑구
202107,11290640,정릉3동,135,성북구
202107,11320660,쌍문1동,238,도봉구
202107,11230610,답십리2동,432,동대문구
202107,11440630,신수동,423,마포구
202107,11545700,시흥4동,229,금천구
202107,11350625,중계2.3동,373,노원구
202107,11110600,가회동,40,종로구
202107,11290590,돈암2동,375,성북구
202107,11500641,방화3동,317,강서구
202107,11440610,염리동,305,마포구
202107,11500630,방화1동,713,강서구
202107,11140670,황학동,213,중구
202107,11470620,신정1동,266,양천구
202107,11140615,신당동,55,중구
202107,11650510,서초1동,298,서초구
202107,11380650,수색동,196,은평구
202107,11290660,길음1동,643,성북구
202107,11590550,상도3동,257,동작구
202107,11110640,이화동,41,종로구
202107,11500520,등촌1동,371,강서구
202107,11680510,신사동,182,강남구
202107,11650570,반포2동,291,서초구
202107,11530750,개봉2동,460,구로구
202107,11590640,사당3동,449,동작구
202107,11710710,잠실6동,282,송파구
202107,11350700,상계8동,619,노원구
202107,11680580,삼성1동,180,강남구
202107,11590670,신대방1동,285,동작구
202107,11200580,응봉동,259,성동구
202107,11230570,전농2동,232,동대문구
202107,11545670,시흥1동,398,금천구
202107,11230750,이문2동,242,동대문구
202107,11560660,신길4동,204,영등포구
202107,11260620,묵1동,435,중랑구
202107,11305545,송중동,336,강북구
202107,11320670,쌍문2동,219,도봉구
202107,11305595,번1동,153,강북구
202107,11320512,창2동,385,도봉구
202107,11440720,성산1동,170,마포구
202107,11620625,인헌동,260,관악구
202107,11650621,방배4동,307,서초구
202107,11710620,가락본동,421,송파구
202107,11620775,난곡동,258,관악구
202107,11440680,합정동,309,마포구
202107,11680730,일원1동,146,강남구
202107,11260610,중화2동,290,중랑구
202107,11170580,효창동,193,용산구
202107,11410565,충현동,282,서대문구
202107,11620655,신원동,106,관악구
202107,11620630,남현동,222,관악구
202107,11680656,도곡2동,468,강남구
202107,11200645,옥수동,598,성동구
202107,11170560,원효로1동,328,용산구
202107,11440710,연남동,153,마포구
202107,11650550,반포본동,78,서초구
202107,11215850,구의1동,197,광진구
202107,11305615,수유1동,210,강북구
202107,11740650,성내2동,257,강동구
202107,11200590,금호1가동,330,성동구
202107,11740660,성내3동,308,강동구
202107,11440555,아현동,679,마포구
202107,11410700,남가좌2동,586,서대문구
202107,11290810,석관동,469,성북구
202107,11350621,중계1동,207,노원구
202107,11710680,잠실3동,592,송파구
202107,11260570,면목7동,323,중랑구
202107,11380560,구산동,347,은평구
202107,11710566,오륜동,169,송파구
202107,11350619,중계본동,193,노원구
202107,11650581,반포4동,340,서초구
202107,11620665,서림동,170,관악구
202107,11215847,자양4동,174,광진구
202107,11110710,숭인2동,59,종로구
202107,11470570,신월2동,315,양천구
202107,11740610,천호2동,426,강동구
202107,11710590,송파2동,317,송파구
202107,11320522,도봉2동,369,도봉구
202107,11215760,중곡3동,195,광진구
202107,11140645,청구동,167,중구
202107,11380510,녹번동,543,은평구
202107,11260600,중화1동,281,중랑구
202107,11680750,수서동,191,강남구
202107,11740640,성내1동,366,강동구
202107,11500550,화곡2동,217,강서구
202107,11110680,창신2동,58,종로구
202107,11440740,상암동,434,마포구
202107,11440730,성산2동,538,마포구
202107,11500535,등촌3동,411,강서구
202107,11440655,서강동,392,마포구
202107,11650660,내곡동,354,서초구
202107,11740700,둔촌2동,386,강동구
202107,11320700,방학2동,179,도봉구
202107,11680720,일원본동,320,강남구
202107,11650590,방배본동,245,서초구
202107,11260575,면목3.8동,246,중랑구
202107,11380625,역촌동,490,은평구
202107,11530720,고척1동,266,구로구
202107,11545620,독산2동,193,금천구
202107,11110615,종로1.2.3.4가동,42,종로구
202107,11140665,동화동,179,중구
202107,11650560,반포1동,569,서초구
202107,11680590,삼성2동,433,강남구
202107,11110700,숭인1동,54,종로구
202107,11260660,망우3동,197,중랑구
202107,11560540,여의동,555,영등포구
202107,11590530,상도1동,562,동작구
202107,11380631,신사1동,329,은평구
202107,11680655,도곡1동,290,강남구
202107,11290705,종암동,510,성북구
202107,11380530,불광2동,246,은평구
202107,11170510,후암동,187,용산구
202107,11710690,잠실4동,433,송파구
202107,11710650,잠실본동,318,송파구
202107,11380552,갈현2동,318,은평구
202107,11470550,목5동,438,양천구
202107,11110515,청운효자동,158,종로구
202107,11380520,불광1동,519,은평구
202107,11170640,이촌2동,134,용산구
202107,11200540,마장동,330,성동구
202107,11290555,삼선동,341,성북구
202107,11545510,가산동,146,금천구
202107,11560605,문래동,933,영등포구
202107,11470560,신월1동,282,양천구
202107,11680660,개포1동,127,강남구
202107,11500530,등촌2동,375,강서구
202107,11530780,오류2동,999,구로구
202107,11680640,역삼1동,255,강남구
202107,11500593,화곡8동,335,강서구
202107,11500605,가양3동,112,강서구
202107,11410710,북가좌1동,400,서대문구
202107,11290600,안암동,120,성북구
202107,11230720,휘경1동,213,동대문구
202107,11110670,창신1동,32,종로구
202107,11290620,정릉1동,421,성북구
202107,11560560,당산2동,714,영등포구
