addr,lat,lng,법정동,cnt,법정동코드,행정동,행정동코드
서울특별시 강남구 논현로163길 33,37.5238944,127.0255799,신사동,7,1138010900,신사동,1168051000
서울특별시 강남구 논현로18길 9,37.478001999999,127.0455609999,개포동,1,1168010300,개포4동,1168069000
서울특별시 강남구 논현로26길 23,37.482816,127.044354,도곡동,1,1168011800,도곡2동,1168065600
서울특별시 강남구 논현로51길 25,37.769476895,126.77006664,도곡동,2,168011800,도곡1동,1168065500
서울특별시 강남구 대치동,37.497055,127.072487,대치동,3,1168010600,대치2동,1168061000
서울특별시 강남구 대치동 950,37.50687518967,127.0622276123,대치동,1,1168010600,대치2동,1168061000
서울특별시 강남구 대치동 도곡로93길 12,37.5015124522,127.0654756841,대치동,2,1168010600,대치2동,1168061000
서울특별시 강남구 대치동 삼성로51길 37,37.4934362819,127.0576977958,대치동,1,1168010600,대치1동,1168060000
서울특별시 강남구 대치동 삼성로64길 5,37.500448308,127.0605123535,대치동,1,1168010600,대치2동,1168061000
서울특별시 강남구 도곡동 967 경남아파트,37.4888734144,127.0408057276,도곡동,3,1168011800,도곡1동,1168065500
서울특별시 강남구 도곡동 선릉로 221,37.4942075612,127.0497329724,도곡동,4,1168011800,도곡2동,1168065600
서울특별시 강남구 도곡동 언주로30길 13,37.4881415795,127.0506742304,도곡동,1,1168011800,도곡2동,1168065600
서울특별시 강남구 도곡동 언주로30길 26,37.4877623464,127.0525283412,도곡동,1,1168011800,도곡2동,1168065600
서울특별시 강남구 도곡동 언주로30길 56,37.4880682608,127.0534828799,도곡동,5,1168011800,도곡2동,1168065600
서울특별시 강남구 도곡동 언주로30길 57,37.4894771854,127.0540356842,도곡동,2,1168011800,도곡2동,1168065600
서울특별시 강남구 도곡로 121,37.490391,127.033547,역삼동,1,1168010100,역삼1동,1168064000
서울특별시 강남구 도곡로 225,37.4937143,127.0431144,역삼동,2,1168010100,역삼2동,1168065000
서울특별시 강남구 도곡로14길 21,37.4901576,127.0379492,도곡동,4,1168011800,도곡1동,1168065500
서울특별시 강남구 도곡로18길 57,37.488278,127.039025,도곡동,1,1168011800,도곡1동,1168065500
서울특별시 강남구 도곡로21길 15,37.492768275,127.03843014,역삼동,3,1168010100,역삼1동,1168064000
"서울특별시 강남구 도곡로28길 8 (도곡동, 도곡1차 I PARK)",37.4923,127.04394776,도곡동,5,1168011800,도곡1동,1168065500
서울특별시 강남구 도곡로43길 21,37.495727772969,127.0470116162,역삼동,10,1168010100,역삼2동,1168065000
서울특별시 강남구 도곡로43길 25 (역삼동),37.49597472625,127.0468165888,역삼동,1,1168010100,역삼2동,1168065000
서울특별시 강남구 도곡로77길 23,37.4997,127.057872,대치동,1,1168010600,대치4동,1168063000
서울특별시 강남구 도산대로 207,37.5204265,127.0290764,신사동,1,1138010900,압구정동,1168054500
서울특별시 강남구 도산대로 306,37.521443999999,127.034871,논현동,1,1168010800,논현2동,1168053100
서울특별시 강남구 도산대로 420,37.522874,127.042062,청담동,3,1168010400,청담동,1168056500
서울특별시 강남구 도산대로101길 29,37.527120401796,127.0537313528,청담동,3,1168010400,청담동,1168056500
서울특별시 강남구 도산대로15길 47,37.521227,127.023198,신사동,1,1138010900,신사동,1162068500
서울특별시 강남구 도산대로15길 47,37.521227,127.023198,신사동,1,1138010900,신사동,1168051000
서울특별시 강남구 도산대로89길 21,37.52588,127.051085,청담동,1,1168010400,청담동,1168056500
서울특별시 강남구 도산대로92길 10,37.52368328445,127.0497657674,청담동,10,1168010400,청담동,1168056500
서울특별시 강남구 도산대로96길 39,37.523003362666,127.0504625009,청담동,5,1168010400,청담동,1168056500
서울특별시 강남구 밤고개로 286 (율현동),37.469049536,127.106911512,율현동,1,1168011300,세곡동,1168070000
서울특별시 강남구 밤고개로21길 71,37.474252,127.114166,율현동,5,1168011300,세곡동,1168070000
서울특별시 강남구 밤고개로27길 20,37.471,127.11,율현동,3,1168011300,세곡동,1168070000
서울특별시 강남구 봉은사로 130,37.5052721,127.0289991,역삼동,1,1168010100,역삼1동,1168064000
서울특별시 강남구 봉은사로 130,37.505358,127.028829,역삼동,1,1168010100,역삼1동,1168064000
서울특별시 강남구 봉은사로 419 (삼성동),37.51123446938,127.0460174064,삼성동,1,1168010500,삼성2동,1168059000
서울특별시 강남구 봉은사로 510,37.5130465,127.0549703,삼성동,3,1168010500,삼성1동,1168058000
서울특별시 강남구 봉은사로 616,37.514321,127.062505,삼성동,1,1168010500,삼성1동,1168058000
서울특별시 강남구 봉은사로105길 12-7,37.516023870453,127.0624478619,삼성동,3,1168010500,삼성1동,1168058000
서울특별시 강남구 봉은사로113길 51,37.51852,127.0647,삼성동,2,1168010500,삼성1동,1168058000
서울특별시 강남구 봉은사로114길 30,37.513177999999,127.065386,삼성동,3,1168010500,삼성1동,1168058000
서울특별시 강남구 삼성동 103-22,37.51716374633,127.0639328871,삼성동,2,1168010500,삼성1동,1168058000
서울특별시 강남구 삼성동 3-8,37.51728078263,127.0445110245,삼성동,2,1168010500,삼성2동,1168059000
서울특별시 강남구 삼성동 48,37.51394035345,127.0500344955,삼성동,1,1168010500,삼성2동,1168059000
서울특별시 강남구 삼성동 봉은사로 645,37.515489,127.065721,삼성동,1,1168010500,삼성1동,1168058000
서울특별시 강남구 삼성동 봉은사로109길 14-8,37.5163180973,127.064864227,삼성동,1,1168010500,삼성1동,1168058000
서울특별시 강남구 삼성동 봉은사로111길 25 ,37.5167326431,127.0647107496,삼성동,1,1168010500,삼성1동,1168058000
서울특별시 강남구 삼성동 삼성로99길 14 ,37.5092129203,127.0538237005,삼성동,2,1168010500,삼성2동,1168059000
서울특별시 강남구 삼성동 영동대로 640,37.5183968081,127.0595495102,삼성동,1,1168010500,삼성1동,1168058000
서울특별시 강남구 삼성동 학동로64길 14 ,37.5167635684,127.0446125208,삼성동,1,1168010500,삼성2동,1168059000
서울특별시 강남구 삼성동 학동로68길 30,37.5165790324,127.0465082121,삼성동,1,1168010500,삼성2동,1168059000
서울특별시 강남구 삼성로 150,37.491229,127.066291,대치동,3,1168010600,대치2동,1168061000
서울특별시 강남구 삼성로 156,37.49421,127.063826,대치동,1,1168010600,대치2동,1168061000
서울특별시 강남구 삼성로 417,37.503960353364,127.0570408917,대치동,10,1168010600,대치4동,1168063000
서울특별시 강남구 삼성로 511,37.507664,127.055578,삼성동,5,1168010500,삼성2동,1168059000
서울특별시 강남구 삼성로 561,37.51151,127.053739,삼성동,1,1168010500,삼성2동,1168059000
서울특별시 강남구 삼성로 563,37.5118672,127.0536275,삼성동,1,1168010500,삼성2동,1168059000
서울특별시 강남구 삼성로 563,37.511953,127.053595,삼성동,2,1168010500,삼성2동,1168059000
서울특별시 강남구 삼성로 628,37.516178906156,127.052003282,삼성동,1,1168010500,삼성1동,1168058000
서울특별시 강남구 삼성로 629,37.515420232873,127.0511315473,삼성동,8,1168010500,삼성2동,1168059000
서울특별시 강남구 삼성로111길 8,37.513845,127.051515,삼성동,4,1168010500,삼성2동,1168059000
서울특별시 강남구 삼성로51길 25,37.495770366334,127.0603502622,대치동,7,1168010600,대치1동,1168060000
서울특별시 강남구 삼성로51길 37,37.4943775,127.0578382,대치동,8,1168010600,대치1동,1168060000
서울특별시 강남구 삼성로64길 5,37.5008929,127.0610401,대치동,3,1168010600,대치2동,1168061000
서울특별시 강남구 삼성로67길 14,37.5011341757,127.0583189354,대치동,2,1168010600,대치4동,1168063000
"서울특별시 강남구 삼성로85길 11 (대치동, 롯데캐슬아파트)",37.504598,127.05618636,대치동,2,1168010600,대치4동,1168063000
서울특별시 강남구 선릉로 121길 12,37.514473,127.040862,논현동,1,1168010800,논현2동,1168053100
서울특별시 강남구 선릉로 126길 22,37.516251576576,127.04519588,삼성동,6,1168010500,삼성2동,1168059000
서울특별시 강남구 선릉로 130길 20,37.515664815944,127.04334499,삼성동,4,1168010500,삼성2동,1168059000
서울특별시 강남구 선릉로 221,37.494206839645,127.0497347812,도곡동,6,1168011800,도곡2동,1168065600
서울특별시 강남구 선릉로 222,37.495048813736,127.054471672,대치동,3,1168010600,대치1동,1168060000
서울특별시 강남구 선릉로 222,37.495867,127.0547491,대치동,2,1168010600,대치1동,1168060000
서울특별시 강남구 선릉로 336,37.4996481,127.0513534,대치동,1,1168010600,대치4동,1168063000
서울특별시 강남구 선릉로 423,37.502366,127.049404,역삼동,5,1168010100,역삼2동,1168065000
서울특별시 강남구 선릉로 524,37.506655067,127.04838618,삼성동,5,1168010500,삼성2동,1168059000
서울특별시 강남구 선릉로 801,37.52356998428,127.0388336141,신사동,2,1138010900,압구정동,1168054500
서울특별시 강남구 선릉로108길 27,37.5100034,127.04605179999,삼성동,2,1168010500,삼성2동,1168059000
서울특별시 강남구 선릉로112길 53,37.513012,127.047847,삼성동,5,1168010500,삼성2동,1168059000
서울특별시 강남구 선릉로121길 12,37.514643,127.040894,논현동,3,1168010800,논현2동,1168053100
서울특별시 강남구 선릉로130길 19,37.5170125,127.042765,삼성동,2,1168010500,삼성2동,1168059000
서울특별시 강남구 세곡동 508,37.46410010438,127.1009689711,세곡동,3,1168011100,세곡동,1168070000
서울특별시 강남구 세곡동 533,37.4673544518,127.093427902,세곡동,1,1168011100,세곡동,1168070000
서울특별시 강남구 세곡동 헌릉로590길 11 ,37.4643883571,127.104164884,세곡동,1,1168011100,세곡동,1168070000
서울특별시 강남구 세곡동 헌릉로590길 63,37.4610460851,127.1015424524,세곡동,2,1168011100,세곡동,1168070000
서울특별시 강남구 수서동,37.487898,127.099961,수서동,3,1168011500,수서동,1168075000
서울특별시 강남구 수서동 735,37.487569,127.101016,수서동,1,1168011500,수서동,1168075000
서울특별시 강남구 신사동 압구정로42길 78,37.524086963,127.033598412,신사동,2,1138010900,압구정동,1168054500
서울특별시 강남구 압구정동 453,37.52968,127.02782,압구정동,1,1168011000,압구정동,1168054500
서울특별시 강남구 압구정동 453,37.531468,127.027407,압구정동,1,1168011000,압구정동,1168054500
서울특별시 강남구 압구정로 128,37.523957,127.022737,신사동,1,1138010900,신사동,1162068500
서울특별시 강남구 압구정로 128,37.523957,127.022737,신사동,1,1138010900,신사동,1168051000
서울특별시 강남구 압구정로 152,37.52552,127.026027,신사동,1,1138010900,신사동,1162068500
서울특별시 강남구 압구정로 152,37.52552,127.026027,신사동,1,1138010900,신사동,1168051000
서울특별시 강남구 압구정로 161,37.526628658353,127.0264263189,압구정동,8,1168011000,신사동,1162068500
서울특별시 강남구 압구정로 161,37.526628658353,127.0264263189,압구정동,8,1168011000,신사동,1168051000
