상권_코드,기준_년_코드,기준_분기_코드,점포_수,유사_업종_점포_수,행정동_코드
1000186,2020,4,66,67,11230600
1000187,2020,4,56,59,11230560
1000188,2020,4,105,114,11230560
1000189,2020,4,205,218,11230560
1000190,2020,4,183,189,11230545
1000191,2020,4,75,76,11230536
1000192,2020,4,138,139,11230545
1000193,2020,4,168,180,11230705
1000194,2020,4,54,56,11230750
1000195,2020,4,93,102,11230650
1000196,2020,4,136,149,11230650
1000197,2020,4,91,98,11230660
1000198,2020,4,129,160,11230650
1000199,2020,4,100,106,11230660
1000200,2020,4,109,121,11230660
1000201,2020,4,221,233,11230650
1000202,2020,4,115,123,11230650
1000203,2020,4,112,119,11230560
1000204,2020,4,122,133,11230600
1000205,2020,4,326,336,11230610
1000206,2020,4,74,77,11230705
1000207,2020,4,119,130,11230545
1000208,2020,4,60,77,11230740
1000209,2020,4,47,47,11230536
1000210,2020,4,173,188,11230536
1000211,2020,4,34,34,11230536
1000212,2020,4,118,121,11230650
1000213,2020,4,167,169,11230650
1000214,2020,4,206,217,11230650
1000215,2020,4,88,101,11230570
1000216,2020,4,94,101,11230660
1000217,2020,4,103,113,11230660
1000218,2020,4,56,61,11230720
1000219,2020,4,52,53,11230740
1000220,2020,4,223,261,11230740
1000221,2020,4,119,141,11230740
1000222,2020,4,149,158,11260565
1000223,2020,4,113,119,11260565
1000224,2020,4,105,114,11260565
1000225,2020,4,49,52,11260620
1000226,2020,4,169,199,11260620
1000227,2020,4,79,85,11260540
1000228,2020,4,131,135,11260520
1000229,2020,4,250,264,11260520
1000230,2020,4,244,262,11260590
1000231,2020,4,197,217,11260610
1000232,2020,4,107,111,11260600
1000233,2020,4,235,248,11260610
1000234,2020,4,69,75,11260610
1000235,2020,4,174,182,11260600
1000236,2020,4,82,85,11260630
1000237,2020,4,276,292,11260630
1000238,2020,4,131,140,11260630
1000239,2020,4,128,145,11260655
1000240,2020,4,69,74,11260655
1000241,2020,4,84,90,11260540
1000242,2020,4,111,120,11260540
1000243,2020,4,119,136,11260575
1000244,2020,4,153,167,11260575
1000245,2020,4,152,166,11260575
1000246,2020,4,116,122,11260565
1000247,2020,4,154,170,11260565
1000248,2020,4,155,163,11260565
1000249,2020,4,196,210,11260590
1000250,2020,4,45,48,11260600
1000251,2020,4,129,139,11260610
1000252,2020,4,278,330,11260680
1000253,2020,4,101,106,11260570
1000254,2020,4,172,187,11260570
1000255,2020,4,83,90,11260580
1000256,2020,4,100,114,11260660
1000257,2020,4,89,96,11260655
1000258,2020,4,176,189,11260655
1000259,2020,4,106,120,11260575
1000260,2020,4,160,172,11260520
1000261,2020,4,62,69,11290660
1000262,2020,4,66,70,11290810
1000263,2020,4,101,110,11290810
1000264,2020,4,122,131,11290770
