상권_코드,기준_년_코드,기준_분기_코드,점포_수,유사_업종_점포_수,행정동_코드
1000805,2020,4,35,35,11620735
1000806,2020,4,147,168,11620735
1000807,2020,4,65,71,11620765
1000808,2020,4,44,46,11620775
1000809,2020,4,103,118,11620775
1000810,2020,4,61,68,11620665
1000811,2020,4,42,47,11620525
1000812,2020,4,132,142,11620605
1000813,2020,4,53,59,11620665
1000814,2020,4,66,72,11620630
1000815,2020,4,194,212,11620695
1000816,2020,4,110,125,11620735
1000817,2020,4,168,181,11620665
1000818,2020,4,84,92,11620665
1000819,2020,4,76,87,11620645
1000820,2020,4,137,150,11620695
1000821,2020,4,108,120,11620695
1000822,2020,4,35,37,11620685
1000823,2020,4,141,153,11620655
1000824,2020,4,73,80,11620615
1000825,2020,4,110,121,11620565
1000826,2020,4,83,94,11620625
1000827,2020,4,273,294,11620595
1000828,2020,4,115,124,11620595
1000829,2020,4,231,247,11620725
1000830,2020,4,236,243,11620725
1000831,2020,4,179,200,11620725
1000832,2020,4,117,127,11620615
1000833,2020,4,91,97,11620595
1000834,2020,4,229,252,11620595
1000835,2020,4,103,113,11620545
1000836,2020,4,128,137,11620575
1000837,2020,4,185,205,11620575
1000838,2020,4,112,120,11620735
1000839,2020,4,407,458,11620735
1000840,2020,4,66,68,11620745
1000841,2020,4,39,39,11620745
1000842,2020,4,62,65,11620745
1000843,2020,4,47,53,11620595
1000844,2020,4,172,181,11650651
1000845,2020,4,206,218,11650651
1000846,2020,4,334,360,11650652
1000847,2020,4,339,389,11650581
1000848,2020,4,229,245,11650530
1000849,2020,4,214,242,11650530
1000850,2020,4,187,196,11650510
1000851,2020,4,154,165,11650652
1000852,2020,4,259,272,11650651
1000853,2020,4,121,128,11650621
1000854,2020,4,218,230,11650590
1000855,2020,4,127,133,11650581
1000856,2020,4,154,163,11650652
1000857,2020,4,169,179,11650652
1000858,2020,4,199,206,11650610
1000859,2020,4,231,255,11650652
1000860,2020,4,159,168,11650651
1000861,2020,4,131,143,11650530
1000862,2020,4,91,95,11650600
1000863,2020,4,216,227,11650590
1000864,2020,4,154,161,11650590
1000865,2020,4,162,174,11650510
1000866,2020,4,240,261,11650581
1000867,2020,4,135,146,11650581
1000868,2020,4,78,83,11650560
1000869,2020,4,95,100,11650621
1000870,2020,4,221,236,11650621
1000871,2020,4,255,279,11650621
1000872,2020,4,163,179,11650610
1000873,2020,4,73,77,11650510
1000874,2020,4,22,23,11650610
1000875,2020,4,181,191,11650540
1000876,2020,4,206,209,11650652
1000877,2020,4,134,146,11650560
1000878,2020,4,106,113,11650560
1000879,2020,4,164,177,11650610
1000880,2020,4,112,119,11650600
1000881,2020,4,137,146,11650600
1000882,2020,4,129,137,11650620
1000883,2020,4,124,136,11650520
1000884,2020,4,152,161,11650590
1000885,2020,4,171,176,11650510
1000886,2020,4,107,121,11680521
1000887,2020,4,172,175,11680521
1000888,2020,4,78,82,11680521
1000889,2020,4,170,179,11680690
1000890,2020,4,215,228,11680690
1000891,2020,4,153,159,11680690
1000892,2020,4,147,164,11680670
1000893,2020,4,148,162,11680655
1000894,2020,4,194,208,11680640
1000895,2020,4,154,166,11680690
1000896,2020,4,239,256,11680521
1000897,2020,4,97,102,11680521
1000898,2020,4,203,208,11680521
1000899,2020,4,93,95,11680510
1000900,2020,4,254,268,11680656
1000901,2020,4,141,157,11680656
1000902,2020,4,247,265,11680640
1000903,2020,4,203,219,11680690
1000904,2020,4,399,421,11680650
1000905,2020,4,116,120,11680510
1000906,2020,4,127,131,11680510
1000907,2020,4,210,217,11680531
1000908,2020,4,134,140,11680531
1000909,2020,4,113,118,11680531
1000910,2020,4,195,198,11680565
1000911,2020,4,203,212,11680565
1000912,2020,4,52,54,11680580
1000913,2020,4,255,279,11680531
1000914,2020,4,326,350,11680531
1000915,2020,4,99,101,11680590
1000916,2020,4,131,137,11680590
1000917,2020,4,203,220,11680590
1000918,2020,4,122,126,11680565
1000919,2020,4,131,141,11680600
1000920,2020,4,236,249,11680630
1000921,2020,4,144,150,11680610
1000922,2020,4,315,338,11680630
1000923,2020,4,158,175,11680630
1000924,2020,4,105,117,11680531
1000925,2020,4,258,268,11680565
1000926,2020,4,190,199,11680531
1000927,2020,4,319,333,11680565
1000928,2020,4,171,187,11680670
1000929,2020,4,188,192,11680510
1000930,2020,4,435,458,11680650
1000931,2020,4,200,223,11680580
1000932,2020,4,135,140,11680610
1000933,2020,4,188,204,11680730
1000934,2020,4,188,221,11680730
1000935,2020,4,251,275,11680580
1000936,2020,4,194,205,11680531
1000937,2020,4,261,286,11680590
1000938,2020,4,157,161,11680521
1000939,2020,4,187,198,11680565
1000940,2020,4,215,240,11710550
1000941,2020,4,269,300,11710632
1000942,2020,4,214,224,11710550
1000943,2020,4,236,259,11710610
1000944,2020,4,268,298,11710610
1000945,2020,4,305,329,11710610
1000946,2020,4,219,235,11710610
1000947,2020,4,228,246,11710600
1000948,2020,4,236,252,11710600
1000949,2020,4,205,228,11710600
1000950,2020,4,182,195,11710580
1000951,2020,4,327,352,11710580
1000952,2020,4,270,292,11710580
1000953,2020,4,227,247,11710562
1000954,2020,4,423,481,11710650
1000955,2020,4,232,249,11710632
1000956,2020,4,262,279,11710641
1000957,2020,4,242,253,11710641
1000958,2020,4,367,419,11710620
1000959,2020,4,198,214,11710620
1000960,2020,4,264,292,11710620
1000961,2020,4,317,349,11710561
1000962,2020,4,266,299,11710570
1000963,2020,4,298,325,11710562
1000964,2020,4,249,273,11710620
1000965,2020,4,224,244,11710632
1000966,2020,4,134,139,11710510
1000967,2020,4,281,305,11740660
1000968,2020,4,168,187,11740570
1000969,2020,4,48,60,11740590
1000970,2020,4,109,130,11740550
1000971,2020,4,107,113,11740600
1000972,2020,4,187,195,11740610
1000973,2020,4,119,135,11740600
1000974,2020,4,216,238,11740540
1000975,2020,4,82,89,11740560
1000976,2020,4,152,171,11740550
1000977,2020,4,146,161,11740700
1000978,2020,4,166,185,11740610
1000979,2020,4,195,218,11740610
1000980,2020,4,247,266,11740530
1000981,2020,4,197,228,11740580
1000982,2020,4,165,183,11740520
1000983,2020,4,267,302,11740640
1000984,2020,4,212,226,11740640
1000985,2020,4,157,167,11740570
1000986,2020,4,292,312,11740660
1000987,2020,4,79,88,11740685
1000988,2020,4,240,255,11740685
1000989,2020,4,144,155,11740600
1000990,2020,4,225,244,11740660
1000991,2020,4,180,195,11740660
1000992,2020,4,131,146,11740700
1000993,2020,4,304,327,11740640
1000994,2020,4,93,95,11740610
1000995,2020,4,91,99,11740610
1000996,2020,4,82,87,11740610
1000997,2020,4,128,134,11740610
1000998,2020,4,139,146,11740570
1000999,2020,4,214,234,11740620
1001000,2020,4,154,166,11740685
1001001,2020,4,156,169,11740600
1001002,2020,4,253,269,11740530
1001003,2020,4,109,122,11740650
1001004,2020,4,196,210,11740650
1001005,2020,4,148,157,11740685
1001006,2020,4,130,146,11740685
1001007,2020,4,166,178,11740520
1001008,2020,4,154,169,11740650
1001009,2020,4,183,194,11740650
1001010,2020,4,87,91,11740650
1001011,2020,4,438,501,11545670
1001012,2020,4,165,172,11650652
1001013,2020,4,163,172,11650652
1001014,2020,4,392,392,11650652
1001015,2020,4,526,606,11545610
1001016,2020,4,191,219,11620735
1001017,2020,4,206,262,11620630
1001018,2020,4,639,685,11650652
1001019,2020,4,129,137,11680690
1001020,2020,4,1141,1200,11710642
1001021,2020,4,644,691,11545510
1001022,2020,4,362,391,11590620
1001023,2020,4,1040,1146,11545510
1001024,2020,4,389,447,11650610
1001025,2020,4,1055,1187,11620595
1001026,2020,4,144,146,11530595
1001027,2020,4,2199,2431,11545510
1001028,2020,4,121,135,11620575
1001029,2020,4,113,132,11650651
1001030,2020,4,298,343,11650651
1001031,2020,4,415,516,11620645
1001032,2020,4,267,306,11620645
1001033,2020,4,649,674,11650510
1001034,2020,4,485,578,11650600
1001035,2020,4,191,208,11680656
1001036,2020,4,43,49,11710641
1001037,2020,4,348,391,11680655
1001038,2020,4,1578,1785,11530540
1001039,2020,4,774,821,11650530
1001040,2020,4,242,278,11620695
1001041,2020,4,606,699,11680750
1001042,2020,4,243,269,11650510
1001043,2020,4,323,356,11650621
1001044,2020,4,586,629,11650520
1001045,2020,4,504,577,11590630
1001046,2020,4,495,542,11620695
1001047,2020,4,183,191,11680655
1001048,2020,4,672,706,11650520
1001049,2020,4,330,360,11530760
1001050,2020,4,2112,2238,11650530
1001051,2020,4,629,720,11590680
1001052,2020,4,775,824,11680640
1001053,2020,4,133,158,11680600
1001054,2020,4,342,377,11680600
1001055,2020,4,526,532,11650530
1001056,2020,4,588,628,11710620
1001057,2020,4,635,704,11650510
1001058,2020,4,437,466,11680640
1001059,2020,4,802,816,11650530
1001060,2020,4,1417,1419,11710631
1001061,2020,4,217,241,11650590
1001062,2020,4,939,1024,11650520
1001063,2020,4,966,1017,11650531
1001064,2020,4,136,152,11530550
1001065,2020,4,143,169,11680600
1001066,2020,4,1459,1593,11680640
1001067,2020,4,378,415,11530770
1001068,2020,4,138,166,11680610
1001069,2020,4,91,102,11680630
1001070,2020,4,110,123,11680610
1001071,2020,4,631,730,11680630
1001072,2020,4,272,316,11590550
1001073,2020,4,1479,1610,11680640
1001074,2020,4,287,309,11530560
1001075,2020,4,198,213,11680650
1001076,2020,4,301,333,11530560
1001077,2020,4,601,650,11680650
1001078,2020,4,1230,1378,11650531
1001079,2020,4,23,28,11710600
1001080,2020,4,77,83,11710580
1001081,2020,4,619,694,11680640
1001082,2020,4,1356,1494,11680630
1001083,2020,4,89,102,11710580
1001084,2020,4,406,450,11680590
1001085,2020,4,2553,2813,11680640
1001086,2020,4,1038,1140,11650581
1001087,2020,4,1099,1183,11680640
1001088,2020,4,779,858,11680610
1001089,2020,4,112,121,11680640
1001090,2020,4,193,210,11680531
1001091,2020,4,120,152,11680610
1001092,2020,4,671,731,11650560
1001093,2020,4,1038,1205,11710650
1001094,2020,4,147,157,11680590
1001095,2020,4,1398,1511,11680521
1001096,2020,4,1148,1290,11530510
1001097,2020,4,625,685,11710680
1001098,2020,4,666,729,11680590
1001099,2020,4,484,538,11680580
1001100,2020,4,119,130,11680521
1001101,2020,4,333,360,11680590
1001102,2020,4,174,179,11680521
1001103,2020,4,862,965,11680580
1001104,2020,4,268,291,11680580
1001105,2020,4,401,483,11590510
1001106,2020,4,110,123,11680531
1001107,2020,4,687,770,11710562
1001108,2020,4,107,117,11680521
1001109,2020,4,649,700,11650540
1001110,2020,4,370,440,11710710
1001111,2020,4,485,528,11680531
1001112,2020,4,256,276,11680531
1001113,2020,4,188,203,11590510
1001114,2020,4,264,275,11650540
1001115,2020,4,358,398,11680531
1001116,2020,4,25,31,11560535
1001117,2020,4,593,624,11680521
1001118,2020,4,260,294,11560605
1001119,2020,4,418,480,11560535
1001120,2020,4,282,295,11680545
1001121,2020,4,108,112,11560535
1001122,2020,4,283,296,11560540
1001123,2020,4,364,396,11680531
1001124,2020,4,253,258,11560535
1001125,2020,4,158,160,11680565
1001126,2020,4,38,40,11470650
1001127,2020,4,1354,1475,11560540
1001128,2020,4,91,95,11680565
1001129,2020,4,161,168,11680565
1001130,2020,4,144,164,11680565
1001131,2020,4,184,202,11680565
1001132,2020,4,382,394,11560550
1001133,2020,4,246,266,11680565
1001134,2020,4,690,806,11560540
1001135,2020,4,2804,3051,11680510
1001136,2020,4,128,158,11470510
1001137,2020,4,260,286,11740660
1001138,2020,4,852,894,11680565
1001139,2020,4,378,421,11560550
1001140,2020,4,1015,1085,11680545
1001141,2020,4,1859,1969,11680545
1001142,2020,4,157,176,11560540
1001143,2020,4,181,200,11170625
1001144,2020,4,731,823,11560540
1001145,2020,4,1370,1461,11170625
1001146,2020,4,47,48,11170650
1001147,2020,4,950,954,11170625
1001148,2020,4,69,79,11470540
1001149,2020,4,236,271,11170685
1001150,2020,4,629,675,11170650
1001151,2020,4,631,637,11170570
1001152,2020,4,1072,1109,11215870
1001153,2020,4,220,258,11560620
1001154,2020,4,151,161,11170560
1001155,2020,4,1002,1017,11170560
1001156,2020,4,590,680,11740685
1001157,2020,4,110,123,11740650
1001158,2020,4,213,243,11560560
1001159,2020,4,147,171,11710510
1001160,2020,4,529,585,11215850
1001161,2020,4,108,140,11215840
1001162,2020,4,260,308,11215847
1001163,2020,4,1366,1515,11740610
1001164,2020,4,382,433,11440585
1001165,2020,4,610,733,11215710
1001166,2020,4,684,741,11440590
1001167,2020,4,146,167,11440565
1001168,2020,4,223,260,11170530
1001169,2020,4,354,392,11170520
1001170,2020,4,189,202,11440555
1001171,2020,4,30,35,11440555
1001172,2020,4,164,194,11215730
1001173,2020,4,483,571,11740530
1001174,2020,4,125,143,11470530
1001175,2020,4,565,670,11740540
1001176,2020,4,25,29,11140635
1001177,2020,4,162,181,11140625
1001178,2020,4,286,301,11440660
1001179,2020,4,513,577,11500591
1001180,2020,4,490,538,11440600
1001181,2020,4,357,411,11215730
1001182,2020,4,3736,4149,11440660
1001183,2020,4,202,216,11440660
1001184,2020,4,255,277,11440660
1001185,2020,4,1481,1720,11410585
1001186,2020,4,937,1033,11410585
1001187,2020,4,223,288,11200550
1001188,2020,4,97,108,11140580
1001189,2020,4,338,366,11140550
1001190,2020,4,575,585,11200790
1001191,2020,4,17,21,11200560
1001192,2020,4,396,460,11140570
1001193,2020,4,241,276,11230650
1001194,2020,4,362,428,11500535
1001195,2020,4,154,167,11200535
1001196,2020,4,451,517,11140520
1001197,2020,4,520,529,11230650
1001198,2020,4,270,306,11500620
1001199,2020,4,913,972,11140570
1001200,2020,4,569,638,11140520
1001201,2020,4,383,412,11140650
1001202,2020,4,768,808,11140520
1001203,2020,4,1918,2193,11140550
1001204,2020,4,705,748,11140605
1001205,2020,4,1216,1257,11140590
1001206,2020,4,242,280,11410565
1001207,2020,4,2051,2069,11140615
1001208,2020,4,792,816,11140605
1001209,2020,4,755,824,11140550
1001210,2020,4,446,504,11140520
1001211,2020,4,908,953,11140590
1001212,2020,4,139,156,11110580
1001213,2020,4,604,724,11110615
1001214,2020,4,111,124,11110615
1001215,2020,4,322,354,11110530
1001216,2020,4,412,460,11110615
1001217,2020,4,80,82,11110630
1001218,2020,4,178,182,11110630
1001219,2020,4,61,65,11110680
1001220,2020,4,859,876,11110670
1001221,2020,4,603,684,11230660
1001222,2020,4,152,160,11110670
1001223,2020,4,1256,1349,11110530
1001224,2020,4,112,119,11230536
1001225,2020,4,144,155,11110710
1001226,2020,4,593,642,11110630
1001227,2020,4,1759,1887,11110615
1001228,2020,4,499,530,11110630
1001229,2020,4,302,309,11110615
1001230,2020,4,1954,2035,11110615
1001231,2020,4,227,248,11230536
1001232,2020,4,1164,1228,11110615
1001233,2020,4,1177,1187,11110615
1001234,2020,4,199,224,11110530
1001235,2020,4,127,146,11110600
1001236,2020,4,126,143,11110540
1001237,2020,4,180,194,11110530
1001238,2020,4,719,767,11230560
1001239,2020,4,542,695,11440740
1001240,2020,4,295,371,11110640
1001241,2020,4,135,152,11110650
1001242,2020,4,463,542,11110650
1001243,2020,4,111,135,11290600
1001244,2020,4,215,264,11230710
1001245,2020,4,631,748,11290575
1001246,2020,4,52,60,11290715
1001247,2020,4,229,243,11290685
1001248,2020,4,510,547,11380570
1001249,2020,4,135,143,11380520
1001250,2020,4,217,228,11380570
1001251,2020,4,399,459,11305545
1001252,2020,4,207,241,11290685
1001253,2020,4,113,121,11380570
1001254,2020,4,590,702,11380551
1001255,2020,4,75,79,11380530
1001256,2020,4,326,363,11305590
1001257,2020,4,561,651,11305630
1001258,2020,4,348,387,11350625
1001259,2020,4,268,283,11305630
1001260,2020,4,616,691,11320514
1001261,2020,4,238,276,11350695
1001262,2020,4,159,181,11350695
1001263,2020,4,1017,1168,11350640
1001264,2020,4,139,140,11110515
1001265,2020,4,516,519,11110615
1001266,2020,4,371,384,11110630
1001267,2020,4,304,306,11110630
1001268,2020,4,41,42,11110630
1001269,2020,4,35,36,11110670
1001270,2020,4,133,136,11110680
1001271,2020,4,197,203,11110710
1001272,2020,4,15,15,11110710
1001273,2020,4,3652,3713,11140540
1001274,2020,4,698,703,11140590
1001275,2020,4,132,135,11140590
1001276,2020,4,1802,1851,11140590
1001277,2020,4,531,539,11140605
1001278,2020,4,198,198,11140615
1001279,2020,4,1563,1574,11140615
1001280,2020,4,956,962,11140615
1001281,2020,4,886,888,11140615
1001282,2020,4,184,194,11140635
1001283,2020,4,141,150,11140650
1001284,2020,4,286,291,11140670
1001285,2020,4,43,44,11140680
1001286,2020,4,43,45,11170510
1001287,2020,4,65,67,11170520
1001288,2020,4,48,50,11170555
1001289,2020,4,171,182,11170590
1001290,2020,4,112,127,11170630
1001291,2020,4,167,171,11170650
1001292,2020,4,11,11,11170660
1001293,2020,4,22,23,11170700
1001294,2020,4,913,915,11200540
1001295,2020,4,249,275,11200560
1001296,2020,4,94,96,11200615
1001297,2020,4,168,174,11200670
1001298,2020,4,151,174,11200790
1001299,2020,4,30,36,11215710
1001300,2020,4,86,93,11215710
1001301,2020,4,225,230,11215740
1001302,2020,4,39,39,11215760
1001303,2020,4,78,83,11215770
1001304,2020,4,157,165,11215820
1001305,2020,4,13,13,11215830
1001306,2020,4,74,76,11215847
1001307,2020,4,48,49,11215840
1001308,2020,4,68,70,11215847
1001309,2020,4,26,26,11215847
1001310,2020,4,11,11,11215860
1001311,2020,4,23,23,11230536
1001312,2020,4,11,11,11230536
1001313,2020,4,116,117,11230536
1001314,2020,4,435,435,11230545
1001315,2020,4,65,65,11230545
1001316,2020,4,579,587,11230545
1001317,2020,4,28,28,11230545
1001318,2020,4,61,61,11230545
1001319,2020,4,130,130,11230545
1001320,2020,4,97,105,11230560
1001321,2020,4,71,71,11230610
1001322,2020,4,26,28,11230600
1001323,2020,4,128,141,11230610
1001324,2020,4,44,49,11230660
1001325,2020,4,163,164,11230545
1001326,2020,4,144,156,11230710
1001327,2020,4,29,30,11230720
1001328,2020,4,28,29,11230750
1001329,2020,4,315,356,11260590
1001330,2020,4,408,435,11260565
1001331,2020,4,160,162,11260570
1001332,2020,4,237,258,11260575
1001333,2020,4,97,101,11260630
1001334,2020,4,86,87,11260610
1001335,2020,4,74,81,11260620
1001336,2020,4,361,376,11260655
1001337,2020,4,5,5,11260660
1001338,2020,4,143,148,11290555
1001339,2020,4,69,73,11290630
1001340,2020,4,223,241,11290640
1001341,2020,4,96,98,11290660
1001342,2020,4,23,23,11290715
1001343,2020,4,120,123,11290770
1001344,2020,4,2,2,11290780
1001345,2020,4,18,18,11290810
1001346,2020,4,13,14,11290810
1001347,2020,4,103,108,11290810
1001348,2020,4,66,69,11305534
1001349,2020,4,210,234,11305545
1001350,2020,4,164,180,11305555
1001351,2020,4,119,122,11305575
1001352,2020,4,119,122,11305590
1001353,2020,4,333,335,11305610
1001354,2020,4,118,123,11305620
1001355,2020,4,118,119,11305630
1001356,2020,4,22,24,11305630
1001357,2020,4,120,125,11305645
1001358,2020,4,6,6,11305660
1001359,2020,4,187,201,11320512
1001360,2020,4,158,166,11320513
1001361,2020,4,36,41,11320521
1001362,2020,4,27,29,11320660
1001363,2020,4,70,73,11320680
1001364,2020,4,183,189,11320700
1001365,2020,4,240,252,11350595
1001366,2020,4,2,2,11350665
1001367,2020,4,218,229,11350670
1001368,2020,4,222,234,11380530
1001369,2020,4,30,33,11380551
1001370,2020,4,17,17,11380552
1001371,2020,4,61,63,11380570
1001372,2020,4,13,14,11380580
1001373,2020,4,54,58,11380590
1001374,2020,4,178,179,11380600
1001375,2020,4,44,46,11380640
1001376,2020,4,56,58,11380650
1001377,2020,4,136,143,11410520
1001378,2020,4,82,85,11410555
1001379,2020,4,194,199,11410640
1001380,2020,4,67,75,11410660
1001381,2020,4,62,62,11410690
1001382,2020,4,18,18,11410700
1001383,2020,4,112,117,11440555
1001384,2020,4,41,42,11440555
1001385,2020,4,197,205,11440555
1001386,2020,4,30,32,11440630
1001387,2020,4,37,41,11440660
1001388,2020,4,12,12,11440660
1001389,2020,4,6,8,11440680
1001390,2020,4,142,145,11440690
1001391,2020,4,132,141,11440700
1001392,2020,4,46,47,11440710
1001393,2020,4,147,147,11440730
1001394,2020,4,185,200,11470520
1001395,2020,4,300,319,11470530
1001396,2020,4,94,98,11470540
1001397,2020,4,245,250,11470560
1001398,2020,4,67,69,11470560
1001399,2020,4,76,79,11470570
1001400,2020,4,33,33,11470580
1001401,2020,4,4,4,11470610
1001402,2020,4,115,121,11470610
1001403,2020,4,54,56,11470611
1001404,2020,4,84,87,11470620
1001405,2020,4,31,31,11470630
1001406,2020,4,151,167,11470640
1001407,2020,4,8,8,11500520
1001408,2020,4,32,35,11500535
1001409,2020,4,131,139,11500540
1001410,2020,4,18,18,11500560
1001411,2020,4,307,317,11500570
1001412,2020,4,143,155,11500590
1001413,2020,4,270,294,11500593
1001414,2020,4,189,215,11500611
1001415,2020,4,173,178,11500630
1001416,2020,4,16,18,11500640
1001417,2020,4,76,79,11530550
1001418,2020,4,286,288,11530550
1001419,2020,4,91,92,11530595
1001420,2020,4,183,188,11530730
1001421,2020,4,23,26,11530750
1001422,2020,4,81,90,11530770
1001423,2020,4,278,281,11545610
1001424,2020,4,211,213,11545630
1001425,2020,4,2,2,11545630
1001426,2020,4,73,79,11545670
1001427,2020,4,323,343,11545670
1001428,2020,4,3,3,11545690
1001429,2020,4,76,89,11545710
1001430,2020,4,1753,1922,11560535
1001431,2020,4,122,123,11560550
1001432,2020,4,16,16,11560585
1001433,2020,4,170,171,11560605
1001434,2020,4,3,3,11560610
1001435,2020,4,56,57,11560630
1001436,2020,4,59,63,11560650
1001437,2020,4,32,35,11560680
1001438,2020,4,58,59,11560700
1001439,2020,4,49,49,11560710
1001440,2020,4,121,157,11590510
1001441,2020,4,93,97,11590510
1001442,2020,4,22,23,11590520
1001443,2020,4,18,20,11590530
1001444,2020,4,177,199,11590530
1001445,2020,4,27,29,11590540
1001446,2020,4,128,135,11590550
1001447,2020,4,135,147,11590560
1001448,2020,4,261,275,11590605
1001449,2020,4,297,326,11590630
1001450,2020,4,190,211,11590650
1001451,2020,4,31,31,11590650
1001452,2020,4,174,183,11620575
1001453,2020,4,69,76,11620585
1001454,2020,4,45,46,11620595
1001455,2020,4,66,69,11620605
1001456,2020,4,22,24,11620605
1001457,2020,4,53,60,11620615
1001458,2020,4,215,230,11620625
1001459,2020,4,253,259,11620655
1001460,2020,4,167,174,11620685
1001461,2020,4,17,17,11620685
1001462,2020,4,61,61,11620725
1001463,2020,4,40,40,11620725
1001464,2020,4,70,71,11620745
1001465,2020,4,10,10,11620745
1001466,2020,4,110,119,11620765
1001467,2020,4,46,50,11620775
1001468,2020,4,30,30,11650590
1001469,2020,4,47,55,11650651
1001470,2020,4,48,53,11680510
1001471,2020,4,227,237,11680521
1001472,2020,4,19,19,11680531
1001473,2020,4,91,92,11680565
1001474,2020,4,109,115,11680650
1001475,2020,4,134,153,11680670
1001476,2020,4,83,84,11710510
1001477,2020,4,231,240,11710550
1001478,2020,4,371,403,11710562
1001479,2020,4,165,177,11710600
1001480,2020,4,308,331,11710650
1001481,2020,4,95,99,11740530
1001482,2020,4,118,138,11740560
1001483,2020,4,173,189,11740570
1001484,2020,4,69,77,11740590
1001485,2020,4,69,71,11740600
1001486,2020,4,12,12,11740610
1001487,2020,4,61,62,11740610
1001488,2020,4,107,113,11740650
1001489,2020,4,261,276,11740660
1001490,2020,4,270,281,11740685
1001491,2020,4,1654,1739,11170650
1001492,2020,4,8570,9207,11140520
1001493,2020,4,12758,12971,11140590
1001494,2020,4,5191,5427,11110615
1001495,2020,4,2238,2479,11710566
1001496,2020,4,862,965,11680580
