행정동코드,행정동,동별 총 대수,휘발유,경유,LPG,전기,CNG,수소,기타연료,하이브리드
1138062500,역촌동,12220.0,6279.0,4397.0,1104.0,49.0,2.0,6.0,17.0,366.0
1138064000,증산동,4660.0,2154.0,1646.0,679.0,25.0,2.0,6.0,10.0,138.0
1138065000,수색동,3996.0,2062.0,1266.0,300.0,20.0,165.0,5.0,8.0,170.0
1138069000,진관동,17958.0,9902.0,5384.0,1376.0,171.0,214.0,20.0,46.0,845.0
1141052000,천연동,4946.0,2857.0,1513.0,296.0,22.0,1.0,4.0,2.0,251.0
1141056500,충현동,11412.0,5955.0,4098.0,704.0,86.0,25.0,7.0,45.0,492.0
1141058500,신촌동,3983.0,2141.0,1272.0,388.0,24.0,3.0,5.0,3.0,147.0
1141061500,연희동,10159.0,5550.0,3394.0,685.0,108.0,14.0,10.0,6.0,392.0
1144056500,공덕동,19717.0,11383.0,6138.0,943.0,141.0,2.0,16.0,39.0,1055.0
1144059000,용강동,25672.0,14026.0,8883.0,1303.0,146.0,1.0,18.0,81.0,1214.0
1144063000,신수동,7669.0,4139.0,2685.0,396.0,44.0,13.0,7.0,7.0,378.0
1144065500,서강동,7662.0,4429.0,2351.0,359.0,58.0,3.0,10.0,23.0,429.0
1144066000,서교동,9592.0,5244.0,3368.0,559.0,56.0,0.0,10.0,15.0,340.0
1144068000,합정동,6483.0,2991.0,2698.0,531.0,47.0,2.0,11.0,9.0,194.0
1144071000,연남동,4165.0,2226.0,1465.0,261.0,27.0,11.0,1.0,4.0,170.0
1144073000,성산제2동,17787.0,9071.0,6424.0,1397.0,120.0,25.0,19.0,34.0,697.0
1144074000,상암동,11322.0,5691.0,3711.0,1061.0,110.0,233.0,23.0,27.0,466.0
1150051000,염창동,39819.0,20937.0,13308.0,3302.0,196.0,20.0,27.0,39.0,1990.0
1150061100,발산제1동,15956.0,7944.0,5439.0,1819.0,70.0,91.0,10.0,39.0,544.0
1150061500,우장산동,64604.0,33665.0,22680.0,5673.0,277.0,12.0,26.0,114.0,2157.0
1150062000,공항동,58084.0,25996.0,19495.0,7052.0,559.0,135.0,22.0,113.0,4712.0
1150064000,방화제2동,1424.0,399.0,755.0,81.0,26.0,136.0,0.0,4.0,23.0
1153051000,신도림동,12591.0,7206.0,4065.0,608.0,56.0,15.0,5.0,28.0,608.0
1153059500,가리봉동,2789.0,1168.0,1359.0,187.0,5.0,0.0,0.0,1.0,69.0
1153078000,오류제2동,18718.0,9185.0,6779.0,2013.0,92.0,3.0,12.0,49.0,585.0
1153079000,수궁동,8103.0,3788.0,3096.0,918.0,28.0,17.0,3.0,14.0,239.0
1153080000,항동,5604.0,2894.0,1946.0,436.0,53.0,1.0,7.0,17.0,250.0
1154551000,가산동,20099.0,8977.0,9000.0,906.0,214.0,154.0,10.0,64.0,774.0
1156053500,영등포동,14452.0,7449.0,5360.0,864.0,107.0,4.0,18.0,38.0,612.0
1156054000,여의동,21406.0,11624.0,6386.0,503.0,1452.0,4.0,46.0,83.0,1308.0
1156055000,당산제1동,7779.0,3867.0,3018.0,473.0,81.0,15.0,10.0,43.0,272.0
1156056000,당산제2동,12772.0,7363.0,3900.0,663.0,75.0,56.0,9.0,22.0,684.0
1156058500,도림동,5744.0,2769.0,2282.0,447.0,26.0,11.0,4.0,11.0,194.0
1156060500,문래동,14066.0,7413.0,5105.0,749.0,71.0,2.0,15.0,89.0,622.0
1156061000,양평제1동,6020.0,2254.0,2835.0,702.0,22.0,7.0,1.0,28.0,171.0
1156062000,양평제2동,15868.0,6947.0,6946.0,1142.0,80.0,7.0,10.0,87.0,649.0
1156067000,신길제5동,48238.0,23898.0,18408.0,3945.0,221.0,11.0,24.0,51.0,1680.0
1159051000,노량진제1동,11403.0,6200.0,3789.0,810.0,77.0,7.0,7.0,16.0,497.0
1159053000,상도제1동,33539.0,18449.0,10811.0,2548.0,157.0,15.0,28.0,36.0,1495.0
1159060500,흑석동,9163.0,5240.0,2830.0,476.0,59.0,10.0,8.0,11.0,529.0
1159063000,사당제2동,28332.0,15943.0,9046.0,1858.0,138.0,14.0,19.0,31.0,1283.0
1159066000,대방동,10565.0,5936.0,3342.0,747.0,43.0,15.0,10.0,19.0,453.0
1162063000,남현동,5034.0,2724.0,1704.0,356.0,15.0,8.0,6.0,2.0,219.0
1165053000,서초3동,90327.0,52081.0,28304.0,3061.0,1497.0,328.0,71.0,201.0,4784.0
1165065100,양재1동,9134.0,4988.0,2746.0,728.0,79.0,32.0,20.0,34.0,507.0
1165065200,양재2동,25143.0,11691.0,9925.0,1215.0,789.0,33.0,91.0,86.0,1313.0
1165066000,내곡동,8326.0,3959.0,2815.0,867.0,111.0,136.0,16.0,21.0,401.0
1168054500,압구정동,20303.0,12476.0,6024.0,529.0,121.0,0.0,10.0,35.0,1108.0
1168056500,청담동,12041.0,7151.0,3846.0,266.0,130.0,6.0,6.0,32.0,604.0
1168070000,세곡동,18814.0,9688.0,6151.0,1857.0,150.0,19.0,16.0,40.0,893.0
1168073000,일원1동,8293.0,4521.0,2436.0,779.0,56.0,1.0,6.0,7.0,487.0
1168074000,일원2동,76670.0,41669.0,19376.0,4278.0,6504.0,183.0,64.0,89.0,4507.0
1171057000,오금동,13934.0,7303.0,4900.0,977.0,76.0,10.0,12.0,22.0,634.0
1171060000,석촌동,10057.0,5241.0,3587.0,785.0,55.0,2.0,4.0,12.0,371.0
1171061000,삼전동,9049.0,4814.0,3058.0,777.0,55.0,2.0,6.0,33.0,304.0
1171064200,문정2동,29434.0,15626.0,10690.0,1423.0,186.0,11.0,21.0,62.0,1415.0
1171064700,위례동,28937.0,14034.0,9218.0,3376.0,217.0,664.0,19.0,75.0,1334.0
1174051500,강일동,10528.0,4970.0,3557.0,1291.0,98.0,185.0,17.0,23.0,387.0
1174068500,길동,15896.0,7281.0,5373.0,2556.0,124.0,2.0,9.0,28.0,523.0
1111067000,창신제1동,1437.0,714.0,564.0,108.0,6.0,2.0,0.0,2.0,41.0
1111068000,창신제2동,1437.0,714.0,564.0,108.0,6.0,2.0,0.0,2.0,41.0
1111069000,창신제3동,1437.0,714.0,564.0,108.0,6.0,2.0,0.0,2.0,41.0
1111070000,숭인제1동,1868.0,975.0,693.0,137.0,7.0,1.0,0.0,3.0,52.0
1111071000,숭인제2동,1868.0,975.0,693.0,137.0,7.0,1.0,0.0,3.0,52.0
1114062500,다산동,4045.0,2086.0,1461.0,319.0,24.0,1.0,2.0,9.0,144.0
1114063500,약수동,4045.0,2086.0,1461.0,319.0,24.0,1.0,2.0,9.0,144.0
1114064500,청구동,4045.0,2086.0,1461.0,319.0,24.0,1.0,2.0,9.0,144.0
1114065000,신당제5동,4045.0,2086.0,1461.0,319.0,24.0,1.0,2.0,9.0,144.0
1114066500,동화동,4045.0,2086.0,1461.0,319.0,24.0,1.0,2.0,9.0,144.0
1117063000,이촌제1동,8067.0,5352.0,1899.0,180.0,129.0,0.0,6.0,10.0,491.0
1117064000,이촌제2동,8067.0,5352.0,1899.0,180.0,129.0,0.0,6.0,10.0,491.0
1117065000,이태원제1동,2428.0,1352.0,800.0,138.0,34.0,3.0,3.0,4.0,96.0
1117066000,이태원제2동,2428.0,1352.0,800.0,138.0,34.0,3.0,3.0,4.0,96.0
1120052000,왕십리제2동,9230.0,5158.0,3079.0,446.0,56.0,1.0,8.0,18.0,464.0
1120056000,행당제1동,6000.0,3370.0,1919.0,306.0,61.0,6.0,2.0,18.0,317.0
1120057000,행당제2동,6000.0,3370.0,1919.0,306.0,61.0,6.0,2.0,18.0,317.0
1120065000,성수1가제1동,8868.0,5056.0,2534.0,498.0,308.0,159.0,4.0,62.0,246.0
1120066000,성수1가제2동,8868.0,5056.0,2534.0,498.0,308.0,159.0,4.0,62.0,246.0
1120067000,성수2가제1동,7817.0,3541.0,3132.0,762.0,66.0,47.0,4.0,14.0,252.0
1120069000,성수2가제3동,7817.0,3541.0,3132.0,762.0,66.0,47.0,4.0,14.0,252.0
1120072000,송정동,2839.0,1318.0,1145.0,274.0,14.0,1.0,0.0,6.0,81.0
1121574000,중곡제1동,5414.0,2578.0,2113.0,542.0,21.0,4.0,1.0,7.0,148.0
1121575000,중곡제2동,5414.0,2578.0,2113.0,542.0,21.0,4.0,1.0,7.0,148.0
1121576000,중곡제3동,5414.0,2578.0,2113.0,542.0,21.0,4.0,1.0,7.0,148.0
1121577000,중곡제4동,5414.0,2578.0,2113.0,542.0,21.0,4.0,1.0,7.0,148.0
1121582000,자양제1동,7592.0,3658.0,3041.0,535.0,41.0,39.0,2.0,10.0,266.0
1121583000,자양제2동,7592.0,3658.0,3041.0,535.0,41.0,39.0,2.0,10.0,266.0
1121584000,자양제3동,7592.0,3658.0,3041.0,535.0,41.0,39.0,2.0,10.0,266.0
1121584700,자양제4동,7592.0,3658.0,3041.0,535.0,41.0,39.0,2.0,10.0,266.0
1121585000,구의제1동,7561.0,4039.0,2617.0,552.0,34.0,2.0,5.0,13.0,299.0
