사용본거지법정동명,동별 총 대수,휘발유,경유,LPG,전기,CNG,수소,기타연료,하이브리드,행정동코드,읍면동명
서울특별시 종로구 와룡동,87,38,41,3,1,0,0,0,4,1111061500,종로1.2.3.4가동
서울특별시 종로구 와룡동,87,38,41,3,1,0,0,0,4,1111061500,종로1.2.3.4가동
서울특별시 종로구 권농동,67,37,16,11,2,0,0,0,1,1111061500,종로1.2.3.4가동
서울특별시 종로구 운니동,155,56,90,4,1,0,0,0,4,1111061500,종로1.2.3.4가동
서울특별시 종로구 익선동,303,170,110,14,0,0,0,0,9,1111061500,종로1.2.3.4가동
서울특별시 종로구 경운동,215,116,86,8,1,0,0,0,4,1111061500,종로1.2.3.4가동
서울특별시 종로구 관철동,455,118,54,32,46,0,0,1,204,1111061500,종로1.2.3.4가동
서울특별시 종로구 인사동,231,142,81,3,1,0,0,1,3,1111061500,종로1.2.3.4가동
서울특별시 종로구 낙원동,292,146,117,14,2,0,1,0,12,1111061500,종로1.2.3.4가동
서울특별시 종로구 종로2가,196,85,82,27,0,0,0,0,2,1111061500,종로1.2.3.4가동
서울특별시 종로구 팔판동,92,53,28,7,2,0,0,0,2,1111054000,삼청동
서울특별시 종로구 삼청동,399,223,134,21,4,0,0,2,15,1111054000,삼청동
서울특별시 종로구 안국동,140,74,59,3,0,0,0,0,4,1111054000,삼청동
서울특별시 종로구 소격동,52,29,19,1,0,0,0,0,3,1111054000,삼청동
서울특별시 종로구 화동,50,29,19,1,0,0,0,0,1,1111054000,삼청동
서울특별시 종로구 사간동,60,28,21,6,2,0,0,1,2,1111054000,삼청동
서울특별시 종로구 송현동,2,1,1,0,0,0,0,0,0,1111054000,삼청동
서울특별시 종로구 가회동,299,171,96,10,8,0,0,1,13,1111060000,가회동
서울특별시 종로구 재동,175,69,105,0,0,0,0,0,1,1111060000,가회동
서울특별시 종로구 계동,339,147,153,18,5,0,6,0,10,1111060000,가회동
서울특별시 종로구 원서동,448,242,157,24,1,1,1,0,22,1111060000,가회동
서울특별시 종로구 훈정동,1,0,1,0,0,0,0,0,0,1111061500,종로1.2.3.4가동
서울특별시 종로구 묘동,83,47,27,4,1,0,0,1,3,1111061500,종로1.2.3.4가동
서울특별시 종로구 봉익동,96,46,45,1,0,1,0,0,3,1111061500,종로1.2.3.4가동
서울특별시 종로구 돈의동,187,71,93,17,1,0,0,0,5,1111061500,종로1.2.3.4가동
서울특별시 종로구 장사동,302,135,148,6,3,0,0,0,10,1111061500,종로1.2.3.4가동
서울특별시 종로구 관수동,194,87,96,5,1,0,0,0,5,1111061500,종로1.2.3.4가동
서울특별시 종로구 종로3가,78,41,32,1,0,1,0,0,3,1111061500,종로1.2.3.4가동
서울특별시 종로구 인의동,453,263,154,9,6,0,1,1,19,1111061500,종로1.2.3.4가동
서울특별시 종로구 예지동,72,34,31,3,0,0,0,0,4,1111061500,종로1.2.3.4가동
서울특별시 종로구 원남동,258,88,155,9,1,0,0,0,5,1111061500,종로1.2.3.4가동
서울특별시 종로구 연지동,420,189,191,26,3,0,0,1,10,1111063000,종로5.6가동
서울특별시 종로구 종로4가,30,19,7,3,1,0,0,0,0,1111061500,종로1.2.3.4가동
서울특별시 종로구 효제동,228,110,98,13,0,0,0,0,7,1111063000,종로5.6가동
서울특별시 종로구 종로5가,101,61,28,6,0,1,0,1,4,1111063000,종로5.6가동
서울특별시 종로구 종로6가,466,170,252,24,4,0,1,4,11,1111063000,종로5.6가동
서울특별시 종로구 이화동,470,237,175,31,12,1,0,5,9,1111064000,이화동
서울특별시 종로구 연건동,349,167,149,11,0,0,2,0,20,1111064000,이화동
서울특별시 종로구 충신동,601,287,229,63,1,0,0,0,21,1111063000,종로5.6가동
서울특별시 종로구 동숭동,894,514,291,55,11,0,0,1,22,1111064000,이화동
서울특별시 종로구 혜화동,819,416,229,50,3,82,0,0,39,1111065000,혜화동
서울특별시 종로구 명륜1가,926,524,306,61,4,0,1,1,29,1111065000,혜화동
서울특별시 종로구 명륜2가,754,469,198,41,6,0,0,2,38,1111065000,혜화동
서울특별시 종로구 명륜4가,174,88,71,7,1,0,0,0,7,1111065000,혜화동
서울특별시 종로구 명륜3가,861,433,305,82,7,0,0,2,32,1111065000,혜화동
서울특별시 종로구 창신동,4311,2141,1691,325,17,5,1,7,124,1111067000,창신제1동
서울특별시 종로구 창신동,4311,2141,1691,325,17,5,1,7,124,1111067000,창신제1동
서울특별시 종로구 창신동,4311,2141,1691,325,17,5,1,7,124,1111067000,창신제1동
서울특별시 종로구 숭인동,3737,1950,1386,274,14,2,0,6,105,1111070000,숭인제1동
서울특별시 종로구 숭인동,3737,1950,1386,274,14,2,0,6,105,1111070000,숭인제1동
서울특별시 종로구 교남동,227,148,51,8,2,0,0,1,17,1111058000,교남동
서울특별시 종로구 평동,595,333,187,12,10,0,1,5,47,1111058000,교남동
서울특별시 종로구 송월동,346,227,88,7,4,0,0,0,20,1111058000,교남동
서울특별시 종로구 홍파동,566,343,149,18,5,0,1,2,48,1111058000,교남동
서울특별시 종로구 교북동,302,182,91,7,3,0,0,1,18,1111058000,교남동
서울특별시 종로구 행촌동,882,452,304,75,5,4,0,2,40,1111058000,교남동
서울특별시 종로구 구기동,1979,1150,609,73,13,1,1,6,126,1111056000,평창동
서울특별시 종로구 평창동,4592,2715,1396,141,48,0,3,11,278,1111056000,평창동
서울특별시 종로구 부암동,1480,856,462,65,14,0,2,5,76,1111055000,부암동
서울특별시 종로구 홍지동,522,314,160,22,0,0,0,0,26,1111055000,부암동
서울특별시 종로구 신영동,1157,605,420,60,11,0,0,1,60,1111055000,부암동
서울특별시 종로구 무악동,2834,1494,973,170,17,0,6,3,171,1111057000,무악동
서울특별시 중구 무교동,218,132,60,12,4,0,0,0,10,1114055000,명동
서울특별시 중구 다동,232,113,73,2,3,0,0,1,40,1114055000,명동
서울특별시 중구 태평로1가,1029,204,464,251,70,5,7,1,27,1114055000,명동
서울특별시 중구 을지로1가,125,63,53,3,1,0,1,1,3,1114055000,명동
서울특별시 중구 을지로2가,1036,319,476,67,33,0,0,87,54,1114055000,명동
서울특별시 중구 남대문로1가,17,8,8,0,0,0,0,0,1,1114055000,명동
서울특별시 중구 삼각동,166,94,51,1,0,0,0,0,20,1114055000,명동
서울특별시 중구 수하동,196,98,61,1,5,0,0,2,29,1114055000,명동
서울특별시 중구 장교동,157,96,50,1,0,0,0,4,6,1114055000,명동
서울특별시 중구 수표동,426,150,226,19,22,0,1,0,8,1114055000,명동
서울특별시 중구 소공동,482,317,142,2,0,0,0,1,20,1114052000,소공동
서울특별시 중구 남창동,247,116,115,13,0,0,0,0,3,1114054000,회현동
서울특별시 중구 북창동,241,117,92,10,0,0,0,9,13,1114052000,소공동
서울특별시 중구 태평로2가,412,126,59,3,216,0,1,2,5,1114052000,소공동
서울특별시 중구 남대문로2가,314,39,270,1,0,0,0,3,1,1114055000,명동
서울특별시 중구 남대문로2가,314,39,270,1,0,0,0,3,1,1114055000,명동
서울특별시 중구 남대문로3가,37,11,14,0,0,0,0,0,12,1114052000,소공동
서울특별시 중구 남대문로3가,37,11,14,0,0,0,0,0,12,1114052000,소공동
서울특별시 중구 남대문로4가,135,91,42,0,0,0,0,0,2,1114052000,소공동
